Visitor,Home,Prediction,Result,Prediction_Outcome
Dallas Mavericks,Atlanta Hawks
New York Knicks,Boston Celtics
Charlotte Hornets,Chicago Bulls
Phoenix Suns,Denver Nuggets
Los Angeles Clippers,Houston Rockets
Philadelphia 76ers,Milwaukee Bucks
Washington Wizards,Minnesota Timberwolves
Brooklyn Nets,New Orleans Pelicans
Miami Heat,Orlando Magic
San Antonio Spurs,Portland Trail Blazers
Memphis Grizzlies,Sacramento Kings
Los Angeles Lakers,Utah Jazz
