Visitor,Home,Prediction,Result,Prediction_Outcome
Sacramento Kings,Atlanta Hawks
Memphis Grizzlies,Chicago Bulls
Washington Wizards,Charlotte Hornets
New York Knicks,Denver Nuggets
Minnesota Timberwolves,Los Angeles Clippers
Boston Celtics,Miami Heat
New Orleans Pelicans,Milwaukee Bucks
Golden State Warriors,Phoenix Suns
