Visitor,Home,Prediction,Result,Prediction_Outcome
Toronto Raptors,Dallas Mavericks
Cleveland Cavaliers,Detroit Pistons
Indiana Pacers,Oklahoma City Thunder
Golden State Warriors,Washington Wizards
