Visitor,Home,Prediction,Result,Prediction_Outcome
Golden State Warriors,Boston Celtics
Los Angeles Clippers,Chicago Bulls
New Orleans Pelicans,Denver Nuggets
Cleveland Cavaliers,Houston Rockets
Philadelphia 76ers,Indiana Pacers
Oklahoma City Thunder,Los Angeles Lakers
Charlotte Hornets,Orlando Magic
Portland Trail Blazers,Sacramento Kings
