Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Golden State Warriors
Boston Celtics,Indiana Pacers
Milwaukee Bucks,Memphis Grizzlies
Brooklyn Nets,Philadelphia 76ers
Detroit Pistons,Utah Jazz
Sacramento Kings,Washington Wizards
