Visitor,Home,Prediction,Result,Prediction_Outcome
Minnesota Timberwolves,Atlanta Hawks
Miami Heat,Chicago Bulls
Oklahoma City Thunder,Cleveland Cavaliers
Washington Wizards,Denver Nuggets
Boston Celtics,Golden State Warriors
Houston Rockets,Los Angeles Lakers
Dallas Mavericks,New Orleans Pelicans
Indiana Pacers,Orlando Magic
Los Angeles Clippers,Phoenix Suns
Milwaukee Bucks,San Antonio Spurs
Detroit Pistons,Toronto Raptors
