Visitor,Home,Prediction,Result,Prediction_Outcome
Milwaukee Bucks,Chicago Bulls
Brooklyn Nets,Denver Nuggets
Minnesota Timberwolves,Houston Rockets
Memphis Grizzlies,Los Angeles Clippers
Philadelphia 76ers,Miami Heat
Toronto Raptors,New Orleans Pelicans
Boston Celtics,Phoenix Suns
San Antonio Spurs,Utah Jazz
