Visitor,Home,Prediction,Result,Prediction_Outcome
Golden State Warriors,Brooklyn Nets,,,
New Orleans Pelicans,Dallas Mavericks,,,
Phoenix Suns,Miami Heat,,,
Los Angeles Clippers,Minnesota Timberwolves,,,
Toronto Raptors,Philadelphia 76ers,,,
