Visitor,Home,Prediction,Result,Prediction_Outcome
Golden State Warriors,Atlanta Hawks
Philadelphia 76ers,Boston Celtics
New York Knicks,Brooklyn Nets
Denver Nuggets,Detroit Pistons
Milwaukee Bucks,Houston Rockets
Cleveland Cavaliers,Indiana Pacers
Memphis Grizzlies,Minnesota Timberwolves
New Orleans Pelicans,Oklahoma City Thunder
Los Angeles Lakers,Orlando Magic
Utah Jazz,Phoenix Suns
Miami Heat,San Antonio Spurs
Los Angeles Clippers,Toronto Raptors
