Visitor,Home,Prediction,Result,Prediction_Outcome
Washington Wizards,Atlanta Hawks
Denver Nuggets,Boston Celtics
Dallas Mavericks,Golden State Warriors
Chicago Bulls,Houston Rockets
Detroit Pistons,Indiana Pacers
Los Angeles Lakers,Milwaukee Bucks
Miami Heat,Minnesota Timberwolves
Oklahoma City Thunder,New Orleans Pelicans
Orlando Magic,San Antonio Spurs
Brooklyn Nets,Toronto Raptors
Memphis Grizzlies,Utah Jazz
