Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Brooklyn Nets
Miami Heat,Dallas Mavericks
Utah Jazz,Detroit Pistons
Charlotte Hornets,Los Angeles Lakers
Sacramento Kings,Oklahoma City Thunder
Golden State Warriors,Phoenix Suns
Denver Nuggets,Portland Trail Blazers
Philadelphia 76ers,Toronto Raptors
