Visitor,Home,Prediction,Result,Prediction_Outcome
Minnesota Timberwolves,Indiana Pacers
Miami Heat,Los Angeles Lakers
Atlanta Hawks,Philadelphia 76ers
Cleveland Cavaliers,Phoenix Suns
Dallas Mavericks,Sacramento Kings
Golden State Warriors,Utah Jazz
San Antonio Spurs,Washington Wizards
