Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Atlanta Hawks
Chicago Bulls,Brooklyn Nets
Houston Rockets,Charlotte Hornets
Detroit Pistons,Cleveland Cavaliers
Memphis Grizzlies,Golden State Warriors
Denver Nuggets,Los Angeles Clippers
Orlando Magic,Miami Heat
New Orleans Pelicans,Minnesota Timberwolves
Portland Trail Blazers,Oklahoma City Thunder
Milwaukee Bucks,Philadelphia 76ers
Los Angeles Lakers,Sacramento Kings
Dallas Mavericks,Utah Jazz
