Visitor,Home,Prediction,Result,Prediction_Outcome
Washington Wizards,Charlotte Hornets
Los Angeles Clippers,Cleveland Cavaliers
Phoenix Suns,Portland Trail Blazers
Dallas Mavericks,Sacramento Kings
