Visitor,Home,Prediction,Result,Prediction_Outcome
San Antonio Spurs,Atlanta Hawks
Detroit Pistons,Boston Celtics
New Orleans Pelicans,Los Angeles Clippers
Philadelphia 76ers,Los Angeles Lakers
Cleveland Cavaliers,Milwaukee Bucks
Charlotte Hornets,Minnesota Timberwolves
Miami Heat,Oklahoma City Thunder
Denver Nuggets,Orlando Magic
Dallas Mavericks,Phoenix Suns
Washington Wizards,Sacramento Kings
New York Knicks,Toronto Raptors
