Visitor,Home,Prediction,Result,Prediction_Outcome
Milwaukee Bucks,Atlanta Hawks
Boston Celtics,Charlotte Hornets
Sacramento Kings,Memphis Grizzlies
Utah Jazz,Minnesota Timberwolves
Los Angeles Lakers,Philadelphia 76ers
Phoenix Suns,Portland Trail Blazers
Houston Rockets,Toronto Raptors
