Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Brooklyn Nets
Atlanta Hawks,Detroit Pistons
Golden State Warriors,Los Angeles Clippers
San Antonio Spurs,Miami Heat
