Visitor,Home,Prediction,Result,Prediction_Outcome
Utah Jazz,Atlanta Hawks
Oklahoma City Thunder,Boston Celtics
Portland Trail Blazers,Denver Nuggets
Indiana Pacers,Miami Heat
Houston Rockets,Minnesota Timberwolves
Los Angeles Lakers,New Orleans Pelicans
Orlando Magic,New York Knicks
Brooklyn Nets,Phoenix Suns
Detroit Pistons,Washington Wizards
