"team_name","age","wins","losses","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_mp","opp_fg_pct","opp_avg_dist","opp_fg2a_pct_fga","opp_pct_fga_00_03","opp_pct_fga_03_10","opp_pct_fga_10_16","opp_pct_fga_16_xx","opp_fg3a_pct_fga","opp_fg2_pct","opp_fg_pct_00_03","opp_fg_pct_03_10","opp_fg_pct_10_16","opp_fg_pct_16_xx","opp_fg3_pct","opp_fg2_pct_ast","opp_pct_fg2_dunk","opp_fg2_dunk","opp_pct_fg2_layup","opp_fg2_layup","opp_fg3_pct_ast","opp_pct_fg3a_corner","opp_fg3_pct_corner","opp_fg","opp_fga","opp_fg3","opp_fg3a","opp_fg2","opp_fg2a","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","fg_pct","avg_dist","fg2a_pct_fga","pct_fga_00_03","pct_fga_03_10","pct_fga_10_16","pct_fga_16_xx","fg3a_pct_fga","fg2_pct","fg_pct_00_03","fg_pct_03_10","fg_pct_10_16","fg_pct_16_xx","fg3_pct","fg2_pct_ast","pct_fg2_dunk","fg2_dunk","pct_fg2_layup","fg2_layup","fg3_pct_ast","pct_fg3a_corner","fg3_pct_corner","fg3a_heave","fg3_heave","fg","fga","fg3","fg3a","fg2","fg2a","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","W_PCT","HOME_RECORD","ROAD_RECORD","L10","CurrentStreak"
"Golden State Warriors",28.1,61,14,61,14,11.56,-0.29,11.27,115.4,103.8,99.8,0.262,0.359,0.597,0.563,13.3,22.5,0.207,0.486,13.6,75.2,0.202,18100,0.435,13.2,0.686,0.292,0.157,0.097,0.138,0.314,0.485,0.622,0.378,0.364,0.403,0.326,0.507,0.051,309,0.249,935,0.828,0.201,0.362,38.6,88.8,9.1,27.9,29.5,60.9,17.9,23.4,0.765,11.6,31.9,43.5,22.5,8.6,3.9,15.7,19.5,104.2,0.494,14,0.641,0.303,0.104,0.106,0.129,0.359,0.556,0.688,0.41,0.438,0.461,0.383,0.66,0.074,450,0.236,933,0.834,0.21,0.413,28,1,42.9,86.9,12,31.2,31,55.7,17.9,22.8,0.789,9.3,35.1,44.4,30.5,9.7,6.6,14.8,19.4,115.8,0.813,0.885714285714286,0.75,0.9,9
"San Antonio Spurs",29.6,57,17,55,19,7.88,-0.15,7.73,111.8,103.5,94.4,0.269,0.28,0.567,0.527,12.5,24,0.216,0.491,13.6,77.7,0.199,17860,0.442,12.8,0.715,0.292,0.165,0.105,0.153,0.285,0.482,0.598,0.369,0.418,0.428,0.343,0.507,0.051,281,0.253,832,0.827,0.244,0.322,36.8,83.2,8.1,23.7,28.7,59.4,16.5,21.3,0.776,9.7,31.5,41.3,21.3,7.6,3.9,14.6,20.1,98.3,0.472,13.3,0.72,0.255,0.161,0.115,0.19,0.28,0.503,0.653,0.431,0.385,0.435,0.391,0.527,0.048,268,0.217,794,0.879,0.271,0.437,11,0,39.5,83.6,9.1,23.4,30.3,60.2,18.1,22.5,0.803,9.9,33.9,43.9,24,8.1,5.9,13.4,18.4,106.1,0.77,0.783783783783784,0.756756756756757,0.7,-1
"Houston Rockets",27.5,51,23,52,22,6.77,0.01,6.78,115.2,108.5,99.8,0.305,0.462,0.586,0.548,13.3,24.6,0.234,0.52,13.6,76.1,0.196,17860,0.464,13.4,0.671,0.29,0.163,0.078,0.139,0.329,0.521,0.691,0.413,0.384,0.374,0.346,0.504,0.049,305,0.259,1068,0.825,0.239,0.371,40.8,88,10,29,30.8,59,17.2,22.3,0.775,10.5,33.1,43.6,23.8,8.5,4.9,15.4,20.6,108.9,0.464,14.4,0.538,0.318,0.126,0.041,0.053,0.462,0.553,0.674,0.381,0.374,0.382,0.362,0.548,0.075,435,0.268,1036,0.773,0.204,0.401,13,0,40.4,86.9,14.5,40.2,25.9,46.8,20.4,26.5,0.768,10.8,33.4,44.2,25.4,8.4,4.3,15.1,20.1,115.6,0.68,0.736842105263158,0.621621621621622,0.7,-2
"Utah Jazz",26.8,46,29,48,27,4.01,-0.29,3.73,109.3,104.9,91.6,0.291,0.328,0.561,0.524,13.2,23.2,0.219,0.492,11.8,79.2,0.195,18075,0.442,12.7,0.72,0.291,0.165,0.113,0.151,0.28,0.476,0.595,0.393,0.386,0.403,0.356,0.409,0.049,261,0.243,804,0.777,0.194,0.378,36.2,81.9,8.2,22.9,28,58.9,15.9,21,0.761,8.9,31.3,40.2,17.8,7.2,3.8,12.2,20.3,96.5,0.464,13.1,0.672,0.294,0.153,0.104,0.121,0.328,0.511,0.648,0.419,0.432,0.361,0.367,0.449,0.068,375,0.233,790,0.791,0.272,0.375,13,1,36.8,79.4,9.5,26,27.3,53.4,17.4,23.1,0.752,9.5,33.9,43.4,19.8,6.7,4.9,13.7,18.9,100.6,0.613,0.675675675675676,0.552631578947368,0.5,2
"Toronto Raptors",26.1,45,30,48,27,4.15,-0.45,3.69,112.4,108.1,94.8,0.296,0.287,0.561,0.516,11.7,25.1,0.237,0.509,13.5,76.4,0.225,18100,0.45,13.4,0.671,0.27,0.177,0.095,0.13,0.329,0.497,0.646,0.398,0.385,0.401,0.355,0.495,0.052,297,0.245,837,0.846,0.236,0.367,37.3,83,9.7,27.3,27.7,55.7,18.7,24,0.779,10.1,32.1,42.1,21.9,6.7,4.8,14.6,20.5,103,0.463,13.1,0.713,0.255,0.184,0.12,0.153,0.287,0.503,0.625,0.453,0.453,0.402,0.364,0.369,0.041,237,0.235,831,0.805,0.271,0.377,10,1,39.2,84.5,8.8,24.3,30.3,60.3,20,25,0.799,10.7,32.6,43.3,18.3,8.3,5,12.7,21,107.2,0.6,0.657894736842105,0.540540540540541,0.7,-1
"Los Angeles Clippers",30,45,31,47,29,3.47,0.21,3.68,112.1,108.5,96.1,0.31,0.33,0.571,0.533,12.1,21.6,0.23,0.506,12.1,76.9,0.214,18315,0.452,13.5,0.691,0.264,0.154,0.117,0.156,0.309,0.496,0.655,0.423,0.406,0.367,0.353,0.522,0.051,309,0.226,858,0.827,0.219,0.386,38.6,85.3,9.3,26.4,29.3,59,18.3,23.6,0.777,10.2,33.1,43.3,23,7.2,3.2,13.2,22.3,104.7,0.472,14.1,0.67,0.276,0.12,0.081,0.193,0.33,0.52,0.659,0.417,0.412,0.433,0.373,0.497,0.066,381,0.224,821,0.776,0.2,0.409,15,2,39.4,83.4,10.3,27.5,29.1,55.9,19.2,25.8,0.744,9.1,34,43.1,22.4,7.5,4.3,13.1,20,108.2,0.597,0.675675675675676,0.525,0.6,2
"Cleveland Cavaliers",29.1,47,26,44,29,3.22,-0.23,2.99,113.7,110.4,96.2,0.28,0.398,0.579,0.546,12.5,22,0.209,0.516,11.4,75.4,0.172,17620,0.458,13.2,0.682,0.295,0.147,0.105,0.134,0.318,0.503,0.631,0.401,0.402,0.414,0.363,0.519,0.048,276,0.252,934,0.836,0.236,0.372,40.7,88.7,10.2,28.2,30.4,60.5,15.3,19.7,0.775,11.1,33.1,44.2,24.4,7.2,4.4,12.6,20.6,106.8,0.47,14.3,0.602,0.286,0.108,0.094,0.114,0.398,0.525,0.662,0.346,0.431,0.428,0.385,0.436,0.058,330,0.234,846,0.832,0.29,0.421,6,0,39.7,84.5,12.9,33.6,26.8,50.9,17.7,23.6,0.749,9.3,34.1,43.4,22.4,6.6,4,13.6,17.9,110,0.635,0.777777777777778,0.5,0.4,-3
"Boston Celtics",25.9,48,27,44,31,2.6,-0.23,2.37,111,108.3,96.6,0.269,0.389,0.566,0.524,12.3,21.5,0.218,0.505,12.8,75.1,0.219,18075,0.452,13.4,0.686,0.28,0.162,0.093,0.15,0.314,0.507,0.628,0.43,0.404,0.425,0.333,0.503,0.047,279,0.242,884,0.848,0.21,0.352,38.7,85.6,8.9,26.9,29.7,58.7,18.7,24.7,0.759,10.8,33.6,44.5,22.6,7.6,5.2,14.1,20.2,105.1,0.453,14.1,0.611,0.296,0.133,0.072,0.111,0.389,0.512,0.63,0.389,0.421,0.402,0.361,0.563,0.032,187,0.274,1016,0.836,0.216,0.415,19,0,38.6,85.1,11.9,33.1,26.6,52,18.6,22.9,0.812,9.2,32.7,41.9,25,7.6,4.2,13.4,20.5,107.7,0.64,0.72972972972973,0.552631578947368,0.7,-1
"Washington Wizards",26,46,29,43,32,2.35,-0.66,1.69,111.3,108.9,97.5,0.256,0.283,0.564,0.527,12.7,24.1,0.2,0.522,13.9,75.6,0.215,18175,0.465,13.4,0.68,0.292,0.149,0.1,0.141,0.32,0.512,0.638,0.408,0.452,0.405,0.363,0.495,0.052,308,0.246,900,0.824,0.21,0.399,39.5,85.1,9.9,27.2,29.7,57.9,18.3,24.4,0.75,10.6,32.5,43.1,22.8,7.3,4.6,15.4,20,107.2,0.475,13,0.717,0.297,0.139,0.109,0.172,0.283,0.515,0.631,0.432,0.427,0.438,0.372,0.499,0.046,272,0.259,991,0.863,0.254,0.355,9,0,41.4,87.3,9.2,24.7,32.3,62.6,17.5,22.3,0.784,10.3,32.7,43.1,24,8.5,4.2,14.1,21.5,109.5,0.613,0.743589743589744,0.472222222222222,0.5,-1
"Memphis Grizzlies",29.6,41,34,39,36,0.69,0.62,1.31,107.7,107,92.6,0.286,0.316,0.534,0.489,11.9,25,0.224,0.506,13.7,77.9,0.262,18200,0.443,14,0.643,0.274,0.145,0.088,0.136,0.357,0.494,0.623,0.426,0.385,0.377,0.352,0.481,0.043,230,0.244,814,0.827,0.244,0.403,34.8,78.6,9.9,28.1,25,50.5,20.6,27.3,0.755,9.1,33,42.1,20.2,6.9,5.1,14.4,21.2,100.2,0.434,13.4,0.684,0.289,0.157,0.094,0.145,0.316,0.472,0.575,0.419,0.385,0.381,0.349,0.5,0.031,174,0.269,904,0.811,0.191,0.412,26,0,36.4,84,9.3,26.5,27.1,57.5,18.8,24,0.784,11,32,43,21.1,8.1,4.1,12.8,22.8,100.9,0.547,0.611111111111111,0.487179487179487,0.5,1
"Oklahoma City Thunder",24.6,43,31,39,35,0.93,0.36,1.29,108.5,107.6,97.9,0.298,0.295,0.542,0.502,13.2,27.6,0.222,0.512,12.5,78.8,0.215,17885,0.46,12.1,0.71,0.321,0.176,0.1,0.112,0.29,0.501,0.622,0.407,0.407,0.387,0.359,0.462,0.052,286,0.278,1010,0.834,0.235,0.397,39.4,85.7,8.9,24.9,30.5,60.8,18.4,24.1,0.762,9.3,31.5,40.7,21.5,8.5,5.4,13.8,20.9,106.1,0.454,12.1,0.705,0.341,0.148,0.106,0.11,0.295,0.507,0.621,0.419,0.402,0.377,0.327,0.464,0.064,370,0.28,1007,0.782,0.256,0.34,18,2,39.6,87.3,8.4,25.7,31.2,61.6,19.3,26.1,0.742,12,34.4,46.4,21.1,7.9,5.1,15,20.9,107.1,0.581,0.72972972972973,0.432432432432432,0.8,2
"Miami Heat",26.4,37,38,40,35,0.92,-0.36,0.56,107.5,106.6,95.2,0.248,0.313,0.54,0.511,12.3,24.3,0.175,0.494,12.6,76.1,0.221,18075,0.448,12.3,0.731,0.307,0.162,0.119,0.143,0.269,0.487,0.584,0.426,0.458,0.371,0.342,0.438,0.044,255,0.269,888,0.835,0.239,0.369,37.7,84.2,7.8,22.7,30,61.6,18.6,23.9,0.779,10.4,33.5,43.8,19.6,6.7,4.9,13.6,18.6,101.8,0.455,13,0.687,0.29,0.167,0.094,0.135,0.313,0.496,0.628,0.415,0.389,0.391,0.363,0.429,0.054,321,0.238,848,0.885,0.303,0.403,13,0,39,85.8,9.7,26.9,29.3,59,15,21.3,0.703,10.7,33,43.7,21.2,7.2,5.7,13.4,20.6,102.8,0.493,0.567567567567568,0.421052631578947,0.6,2
"Charlotte Hornets",26.6,34,41,40,35,0.8,-0.37,0.43,108.8,108,95.8,0.277,0.335,0.547,0.501,10.7,20.1,0.225,0.518,12,79.6,0.167,18150,0.453,14,0.64,0.287,0.116,0.088,0.149,0.36,0.506,0.604,0.432,0.437,0.415,0.36,0.513,0.04,229,0.251,914,0.87,0.231,0.384,39.3,86.7,11.3,31.3,28.1,55.5,14.5,18.7,0.773,9,35.4,44.5,24.2,6.6,5.6,12.9,20.1,104.4,0.442,13.7,0.665,0.284,0.134,0.096,0.15,0.335,0.487,0.612,0.398,0.406,0.382,0.353,0.549,0.034,200,0.257,938,0.796,0.138,0.378,14,0,37.9,85.7,10.1,28.7,27.8,57,19.3,23.7,0.812,8.9,35.1,44,23.3,6.8,4.7,11.5,16.7,105.2,0.453,0.552631578947368,0.351351351351351,0.5,1
"Denver Nuggets",25.4,35,39,37,37,0.15,0.15,0.3,113.2,113.1,98,0.28,0.325,0.566,0.528,13.3,28,0.217,0.535,11,78.7,0.196,17835,0.48,13.1,0.706,0.288,0.15,0.103,0.166,0.294,0.521,0.64,0.468,0.455,0.404,0.38,0.497,0.051,310,0.245,925,0.826,0.219,0.4,42.1,87.9,9.8,25.8,32.4,62.1,17.2,22,0.783,9.3,31.2,40.5,24.2,8.4,4.8,12.1,20.3,111.3,0.467,12.7,0.675,0.329,0.157,0.077,0.113,0.325,0.515,0.622,0.44,0.384,0.393,0.37,0.522,0.052,304,0.284,1036,0.872,0.192,0.377,16,0,41,87.6,10.5,28.5,30.4,59.1,19,24.5,0.773,12.1,34.2,46.3,25.1,7,4,15.1,19.3,111.4,0.473,0.538461538461538,0.4,0.6,-2
"Milwaukee Bucks",25.6,39,36,39,36,0.43,-0.25,0.18,110,109.5,94.7,0.277,0.285,0.567,0.53,13,21.9,0.213,0.52,13.7,75.2,0.217,18075,0.459,13,0.662,0.324,0.139,0.091,0.109,0.338,0.511,0.622,0.428,0.387,0.388,0.358,0.546,0.054,304,0.275,960,0.863,0.293,0.396,38.1,82.9,10,28,28,54.9,18,23.3,0.77,10.4,31.9,42.2,24,7.2,4.7,14.8,19.5,104.1,0.477,11.6,0.715,0.36,0.17,0.077,0.108,0.285,0.52,0.642,0.4,0.386,0.397,0.371,0.535,0.074,422,0.288,1001,0.922,0.279,0.379,11,0,39.2,82.1,8.7,23.4,30.5,58.7,17.5,22.7,0.77,8.9,31.4,40.4,24.3,8.2,5.4,13.8,20.3,104.6,0.52,0.552631578947368,0.486486486486487,0.7,2
"Minnesota Timberwolves",23.9,29,44,34,39,-0.89,0.46,-0.43,110.4,111.3,94.5,0.284,0.253,0.555,0.511,13.1,27.3,0.226,0.531,13.3,76.1,0.211,17645,0.474,13,0.681,0.313,0.142,0.09,0.135,0.319,0.526,0.658,0.44,0.408,0.391,0.362,0.488,0.06,348,0.264,932,0.853,0.219,0.415,39.4,83.2,9.6,26.6,29.8,56.6,17.5,22.8,0.767,9.8,30.5,40.3,22.7,7.7,4.9,14.3,20.5,105.9,0.467,12.4,0.747,0.303,0.163,0.099,0.182,0.253,0.507,0.637,0.441,0.398,0.409,0.35,0.53,0.059,340,0.249,862,0.877,0.264,0.388,9,0,39.3,84.1,7.5,21.3,31.8,62.8,19,23.9,0.795,11.5,31,42.4,23.4,7.9,4.6,14.2,20.2,105,0.405,0.5,0.305555555555556,0.3,2
"Portland Trail Blazers",24.9,36,38,35,39,-0.89,0.15,-0.74,110.1,111,96.9,0.279,0.318,0.56,0.521,12.7,23,0.216,0.509,11.4,77.1,0.243,18010,0.454,13.2,0.703,0.278,0.163,0.109,0.154,0.297,0.488,0.578,0.436,0.441,0.411,0.373,0.439,0.04,224,0.239,800,0.806,0.2,0.371,39.2,86.5,9.6,25.7,29.6,60.8,21,26.8,0.784,10.1,33.9,43.9,20.7,7.9,5.3,12.7,19.9,109,0.461,13.3,0.682,0.298,0.142,0.093,0.149,0.318,0.503,0.596,0.425,0.449,0.424,0.373,0.451,0.047,272,0.248,844,0.791,0.204,0.383,15,0,39.7,86,10.2,27.4,29.5,58.6,18.6,24,0.775,10.1,33.8,43.9,21.4,6.9,5,14,21.5,108.1,0.493,0.583333333333333,0.41025641025641,0.8,5
