Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Atlanta Hawks,,,
Phoenix Suns,Chicago Bulls,,,
Brooklyn Nets,Denver Nuggets,,,
Memphis Grizzlies,Indiana Pacers,,,
San Antonio Spurs,Los Angeles Clippers,,,
Utah Jazz,Milwaukee Bucks,,,
Dallas Mavericks,Minnesota Timberwolves,,,
Los Angeles Lakers,Oklahoma City Thunder,,,
Washington Wizards,Philadelphia 76ers,,,
Boston Celtics,Toronto Raptors,,,
Miami Heat,Atlanta Hawks,,,
Phoenix Suns,Chicago Bulls,,,
Brooklyn Nets,Denver Nuggets,,,
Memphis Grizzlies,Indiana Pacers,,,
San Antonio Spurs,Los Angeles Clippers,,,
Utah Jazz,Milwaukee Bucks,,,
Dallas Mavericks,Minnesota Timberwolves,,,
Los Angeles Lakers,Oklahoma City Thunder,,,
Washington Wizards,Philadelphia 76ers,,,
Boston Celtics,Toronto Raptors,,,
