team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.1,62,14,62,14,11.53,-0.21,11.32,115.3,103.8,99.8,.260,.359,.596,.562,13.2,22.6,.205,.485,13.6,75.0,.202
San Antonio Spurs,29.6,58,17,56,19,7.84,-0.14,7.70,111.7,103.4,94.4,.270,.281,.567,.526,12.5,24.0,.216,.491,13.7,77.6,.200
Houston Rockets,27.5,51,25,52,24,6.34,0.15,6.50,115.0,108.6,99.7,.304,.460,.584,.546,13.3,24.8,.233,.521,13.5,76.0,.195
Utah Jazz,26.8,47,29,49,27,4.05,-0.28,3.77,109.2,104.8,91.6,.292,.328,.561,.524,13.2,23.2,.219,.491,11.8,79.1,.194
Toronto Raptors,26.1,46,30,48,28,4.24,-0.47,3.76,112.5,108.0,94.8,.298,.288,.561,.516,11.7,25.2,.237,.508,13.5,76.4,.225
Los Angeles Clippers,30.0,46,31,47,30,3.51,0.13,3.63,112.3,108.6,96.2,.311,.329,.572,.535,12.1,21.6,.231,.507,12.1,76.8,.213
Cleveland Cavaliers,29.1,48,27,45,30,3.28,-0.31,2.97,113.6,110.2,96.3,.277,.395,.579,.546,12.5,22.0,.206,.516,11.5,75.4,.171
Boston Celtics,25.9,49,27,44,32,2.58,-0.31,2.27,111.1,108.4,96.7,.271,.389,.566,.524,12.3,21.4,.220,.504,12.7,75.2,.219
Washington Wizards,26.0,46,30,43,33,2.22,-0.60,1.62,111.2,108.9,97.4,.255,.282,.563,.526,12.7,24.2,.200,.523,13.9,75.6,.216
Memphis Grizzlies,29.6,42,34,40,36,0.80,0.57,1.37,107.8,106.9,92.5,.285,.316,.534,.489,12.0,25.0,.224,.505,13.7,78.0,.262
Oklahoma City Thunder,24.6,43,32,40,35,0.85,0.45,1.30,108.4,107.6,97.9,.299,.294,.542,.502,13.2,27.6,.222,.512,12.5,78.7,.215
Charlotte Hornets,26.6,35,41,40,36,0.89,-0.38,0.52,109.1,108.2,95.8,.278,.336,.548,.502,10.6,20.1,.226,.519,12.0,79.5,.166
Miami Heat,26.5,37,39,40,36,0.86,-0.41,0.44,107.5,106.6,95.1,.249,.314,.539,.511,12.4,24.3,.175,.494,12.6,76.1,.220
Denver Nuggets,25.3,35,40,38,37,0.04,0.15,0.19,113.3,113.2,98.0,.278,.326,.567,.528,13.2,27.9,.215,.536,11.0,78.7,.197
Milwaukee Bucks,25.6,40,36,39,37,0.46,-0.28,0.19,109.9,109.4,94.7,.279,.287,.567,.530,13.0,21.8,.214,.519,13.7,75.2,.215
Minnesota Timberwolves,23.9,30,44,35,39,-0.68,0.35,-0.33,110.6,111.3,94.5,.285,.253,.555,.512,13.0,27.4,.226,.531,13.4,75.9,.210
Portland Trail Blazers,24.9,37,38,36,39,-0.75,0.22,-0.53,110.2,110.9,96.9,.279,.319,.561,.521,12.7,23.0,.216,.508,11.5,77.0,.243
Chicago Bulls,27.0,36,39,35,40,-0.83,0.03,-0.80,107.2,108.1,94.9,.264,.252,.528,.485,12.2,27.4,.209,.514,12.3,76.5,.166
New Orleans Pelicans,25.7,33,43,34,42,-1.51,0.37,-1.14,105.0,106.6,97.9,.258,.310,.539,.504,11.9,18.7,.192,.505,12.4,77.1,.178
Indiana Pacers,27.0,37,39,35,41,-1.16,-0.33,-1.49,107.8,109.0,96.1,.264,.270,.554,.512,12.8,20.9,.213,.510,13.4,75.0,.225
Detroit Pistons,25.4,35,42,35,42,-1.29,-0.27,-1.56,105.7,107.1,94.9,.221,.261,.521,.492,10.9,23.8,.159,.515,12.0,81.2,.199
Atlanta Hawks,27.9,39,36,34,41,-1.20,-0.38,-1.58,104.7,105.9,97.4,.298,.306,.540,.502,14.2,23.8,.216,.508,13.9,75.7,.177
Dallas Mavericks,27.8,31,44,31,44,-2.47,0.35,-2.12,105.8,108.4,92.0,.226,.360,.542,.505,11.5,18.0,.182,.529,14.5,77.8,.219
Sacramento Kings,28.1,29,47,27,49,-4.33,0.69,-3.64,106.7,111.2,94.7,.282,.294,.553,.512,13.7,21.0,.219,.529,13.1,76.4,.227
New York Knicks,27.3,29,47,29,47,-3.50,-0.27,-3.77,107.7,111.3,96.3,.239,.278,.535,.497,12.5,26.2,.189,.508,11.5,73.9,.214
Philadelphia 76ers,24.7,28,48,25,51,-5.34,-0.07,-5.41,103.0,108.4,98.6,.256,.347,.540,.502,15.0,22.0,.196,.508,13.3,75.4,.235
Phoenix Suns,25.2,22,54,25,51,-5.82,0.35,-5.47,106.0,111.8,100.2,.296,.256,.537,.492,13.5,25.5,.230,.525,13.3,76.7,.266
Orlando Magic,25.4,27,49,23,53,-6.04,0.11,-5.94,103.6,109.8,96.6,.247,.299,.523,.488,12.1,21.8,.183,.519,12.0,77.2,.204
Brooklyn Nets,26.1,16,59,21,54,-7.19,0.24,-6.95,104.0,111.1,101.2,.289,.371,.551,.507,14.8,19.7,.227,.514,11.5,76.1,.215
Los Angeles Lakers,25.2,21,54,21,54,-7.56,0.41,-7.15,106.0,113.7,98.6,.260,.300,.538,.501,13.5,24.8,.196,.541,12.7,75.4,.214
