team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.458,12.9,.691,.323,.128,.097,.143,.309,.516,.645,.361,.429,.417,.328,.541,.055,133,.278,419,.902,.250,.406,3,0
Boston Celtics,.446,14.0,.637,.292,.143,.070,.131,.363,.501,.617,.371,.417,.433,.350,.549,.028,71,.279,431,.859,.212,.440,8,0
Brooklyn Nets,.440,13.3,.613,.299,.184,.065,.067,.387,.508,.601,.450,.395,.355,.333,.437,.028,64,.301,441,.855,.213,.330,2,0
Chicago Bulls,.437,12.2,.773,.296,.178,.124,.176,.227,.475,.567,.479,.410,.360,.308,.496,.038,89,.271,386,.856,.241,.374,4,0
Charlotte Hornets,.438,13.4,.683,.295,.141,.091,.155,.317,.477,.597,.396,.387,.376,.353,.568,.030,77,.271,402,.799,.146,.371,6,0
Cleveland Cavaliers,.457,14.4,.610,.280,.115,.104,.111,.390,.496,.646,.319,.415,.373,.398,.446,.056,128,.232,339,.836,.280,.452,4,0
Dallas Mavericks,.428,15.2,.638,.203,.130,.114,.190,.362,.477,.629,.426,.446,.373,.342,.435,.038,85,.169,242,.834,.185,.376,4,0
Denver Nuggets,.448,12.6,.696,.326,.162,.085,.123,.304,.488,.582,.429,.377,.390,.357,.472,.045,109,.285,404,.884,.199,.415,8,0
Detroit Pistons,.449,12.9,.744,.252,.196,.137,.159,.256,.485,.637,.395,.430,.403,.344,.467,.042,112,.211,348,.844,.218,.424,14,0
Golden State Warriors,.495,14.2,.643,.296,.106,.112,.130,.357,.561,.699,.438,.423,.463,.377,.666,.072,191,.233,403,.857,.213,.366,13,0
Houston Rockets,.467,14.3,.548,.314,.137,.041,.057,.452,.541,.671,.352,.381,.400,.377,.542,.072,180,.265,449,.782,.203,.410,8,0
Indiana Pacers,.452,13.3,.735,.246,.185,.110,.194,.265,.487,.603,.479,.376,.407,.354,.489,.027,69,.242,379,.853,.236,.378,9,1
Los Angeles Clippers,.468,14.3,.678,.270,.111,.091,.205,.322,.509,.650,.341,.429,.448,.383,.506,.061,149,.222,351,.765,.213,.400,5,0
Los Angeles Lakers,.445,13.0,.702,.275,.179,.119,.128,.298,.486,.649,.345,.392,.419,.350,.447,.054,143,.228,392,.812,.221,.385,7,1
Memphis Grizzlies,.418,13.3,.701,.291,.159,.095,.156,.299,.454,.547,.417,.379,.359,.335,.486,.033,79,.271,378,.827,.206,.409,10,0
Miami Heat,.438,12.6,.712,.306,.174,.088,.143,.288,.479,.608,.379,.371,.388,.339,.437,.052,126,.258,374,.916,.311,.371,6,0
Milwaukee Bucks,.466,11.8,.710,.359,.169,.072,.111,.290,.513,.645,.384,.330,.404,.349,.537,.080,178,.277,384,.919,.271,.311,5,0
Minnesota Timberwolves,.453,12.7,.721,.302,.161,.092,.166,.279,.492,.607,.431,.390,.396,.351,.506,.053,128,.255,360,.831,.245,.393,2,0
New Orleans Pelicans,.439,13.4,.709,.264,.172,.110,.161,.291,.478,.611,.422,.387,.384,.344,.527,.039,103,.238,382,.843,.195,.374,5,0
New York Knicks,.446,13.3,.720,.290,.123,.139,.168,.280,.478,.603,.347,.434,.392,.363,.455,.038,93,.256,373,.857,.209,.452,14,0
Oklahoma City Thunder,.460,12.0,.704,.351,.145,.110,.098,.296,.513,.626,.406,.418,.374,.334,.471,.064,153,.287,441,.835,.284,.372,10,1
Orlando Magic,.437,13.5,.701,.255,.175,.111,.161,.299,.479,.622,.394,.452,.359,.340,.487,.036,95,.226,359,.889,.179,.329,9,0
Philadelphia 76ers,.437,13.9,.645,.270,.147,.109,.120,.355,.480,.639,.356,.378,.373,.357,.516,.032,74,.245,366,.853,.167,.393,4,0
Phoenix Suns,.444,12.9,.723,.306,.143,.117,.157,.277,.484,.621,.399,.366,.380,.339,.370,.046,114,.264,418,.826,.297,.326,12,0
Portland Trail Blazers,.456,13.7,.662,.280,.151,.089,.143,.338,.505,.615,.419,.445,.418,.360,.472,.045,119,.241,385,.801,.213,.366,7,0
Sacramento Kings,.449,12.7,.707,.291,.189,.079,.147,.293,.489,.637,.404,.385,.363,.351,.491,.051,118,.276,413,.872,.255,.368,9,0
San Antonio Spurs,.471,13.5,.731,.251,.160,.112,.209,.269,.493,.643,.394,.370,.454,.410,.530,.050,110,.210,312,.882,.271,.459,6,0
Toronto Raptors,.475,13.3,.713,.245,.184,.125,.160,.287,.508,.637,.468,.444,.405,.394,.396,.046,108,.217,313,.799,.273,.405,4,1
Utah Jazz,.466,13.5,.655,.289,.147,.097,.124,.345,.520,.657,.442,.433,.361,.362,.437,.061,134,.231,328,.789,.227,.348,5,0
Washington Wizards,.466,12.9,.740,.283,.151,.124,.181,.260,.506,.613,.458,.436,.427,.351,.491,.033,73,.262,394,.835,.247,.325,3,0
