team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Los Angeles Clippers,38.8,83.5,10.0,26.4,28.9,57.1,21.5,28.4,.757,9.1,34.7,43.8,22.4,9.2,4.9,12.5,20.5,109.0
Golden State Warriors,43.4,87.4,12.1,32.2,31.3,55.2,19.3,24.3,.794,9.2,35.2,44.4,31.1,9.5,6.6,14.9,20.0,118.1
Houston Rockets,40.3,86.5,14.0,37.0,26.3,49.5,16.8,22.3,.753,11.6,32.3,43.9,24.3,7.4,5.1,16.2,20.4,111.4
Portland Trail Blazers,40.5,88.1,11.1,30.4,29.5,57.7,18.7,23.4,.801,9.3,33.2,42.5,22.5,6.9,4.6,13.6,22.8,110.8
Los Angeles Lakers,39.3,87.4,8.9,25.6,30.5,61.8,17.8,23.0,.774,11.4,33.2,44.7,21.6,8.5,3.6,16.0,20.8,105.3
Oklahoma City Thunder,40.8,88.8,9.0,25.7,31.9,63.1,17.5,23.9,.732,10.8,34.9,45.7,22.4,7.8,5.2,15.7,20.9,108.0
Detroit Pistons,39.6,87.0,7.1,20.2,32.5,66.8,14.1,18.4,.767,9.8,34.8,44.6,21.1,6.9,4.0,11.7,17.2,100.4
Toronto Raptors,39.9,84.2,9.1,23.9,30.8,60.3,21.0,25.8,.813,10.5,31.9,42.4,19.8,8.9,4.5,12.2,21.8,109.9
San Antonio Spurs,37.1,80.4,8.8,21.9,28.4,58.6,20.0,24.4,.820,9.2,32.6,41.8,22.7,8.0,5.8,12.8,17.8,103.0
New Orleans Pelicans,38.4,85.7,7.8,24.3,30.6,61.4,18.0,23.4,.769,7.9,35.5,43.4,23.2,8.2,6.5,13.3,19.1,102.5
Denver Nuggets,38.7,89.2,8.9,25.3,29.7,63.9,20.4,27.5,.741,13.1,37.2,50.3,21.8,6.3,4.3,16.2,20.8,106.7
Atlanta Hawks,38.3,84.5,8.6,26.0,29.8,58.5,15.9,22.6,.701,10.2,34.3,44.5,23.4,9.2,5.3,17.0,17.6,101.0
Phoenix Suns,39.2,88.8,7.5,22.6,31.7,66.2,20.3,26.9,.755,11.3,34.8,46.1,18.3,8.8,4.4,16.1,25.1,106.2
Boston Celtics,38.6,86.4,11.3,31.1,27.4,55.3,16.1,20.4,.786,9.6,32.6,42.2,24.5,7.3,4.8,12.4,21.3,104.6
Utah Jazz,36.4,78.2,9.3,25.9,27.1,52.3,17.3,22.4,.772,8.0,34.7,42.7,18.5,6.2,5.3,12.5,19.8,99.3
Charlotte Hornets,37.4,85.0,9.9,28.3,27.4,56.7,19.7,26.6,.741,8.4,36.5,44.9,24.0,6.7,5.3,11.7,16.9,104.4
Cleveland Cavaliers,38.9,85.7,13.3,34.3,25.6,51.4,18.9,24.7,.766,9.9,34.2,44.1,22.7,6.7,4.6,13.8,18.0,110.0
New York Knicks,39.8,89.1,9.1,25.4,30.7,63.7,15.4,19.7,.783,11.8,32.9,44.7,22.3,7.6,5.5,13.7,21.5,104.2
Indiana Pacers,40.1,87.9,7.9,22.5,32.2,65.4,15.8,20.1,.785,9.3,33.4,42.7,22.8,9.2,6.1,15.3,20.1,103.8
Minnesota Timberwolves,37.4,83.4,8.3,23.6,29.2,59.8,20.6,26.3,.782,11.7,30.1,41.8,21.7,8.2,4.8,14.9,21.7,103.7
Sacramento Kings,37.5,83.4,8.1,23.4,29.4,59.9,19.6,25.2,.777,9.6,32.4,42.0,21.9,7.6,4.2,14.6,21.0,102.6
Memphis Grizzlies,34.9,82.5,8.5,25.0,26.5,57.5,19.0,24.1,.788,9.7,32.1,41.8,19.5,8.4,5.6,14.1,24.2,97.2
Brooklyn Nets,37.8,86.9,11.5,34.9,26.3,52.0,18.4,23.6,.781,9.3,34.3,43.6,20.7,8.1,4.4,16.9,20.2,105.4
Chicago Bulls,39.2,88.9,6.8,21.0,32.3,67.9,19.6,24.2,.811,13.9,34.9,48.9,21.9,8.2,5.3,13.1,17.6,104.8
Orlando Magic,35.1,84.3,8.0,24.6,27.1,59.7,15.0,20.8,.720,10.6,34.4,45.0,20.5,6.4,5.8,13.7,18.0,93.0
Washington Wizards,39.4,87.3,7.5,21.4,31.9,65.9,16.6,21.6,.769,11.2,32.2,43.4,21.3,8.8,4.2,15.1,22.2,102.9
Philadelphia 76ers,36.7,85.1,10.6,29.3,26.1,55.8,13.5,18.5,.729,8.8,34.6,43.5,22.7,7.9,5.8,17.3,21.8,97.4
Miami Heat,37.1,86.0,8.4,25.2,28.6,60.8,14.8,22.2,.670,11.6,33.1,44.7,19.7,7.4,5.9,12.7,21.1,97.4
Milwaukee Bucks,39.0,85.4,8.5,24.8,30.5,60.6,16.6,21.3,.782,10.5,34.4,44.8,24.4,8.9,5.4,15.0,21.3,103.2
Dallas Mavericks,33.8,82.7,9.2,29.3,24.6,53.4,14.1,17.7,.796,9.1,31.4,40.6,18.0,7.6,3.8,13.1,19.6,91.0
