team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,66,14,65,15,11.81,-0.26,11.55,115.8,104.0,99.8,.260,.359,.598,.564,13.2,22.8,.205,.485,13.5,74.9,.201
San Antonio Spurs,29.6,61,19,59,21,7.44,-0.11,7.32,111.2,103.4,94.3,.265,.282,.565,.525,12.5,23.8,.211,.491,13.5,77.7,.193
Houston Rockets,27.5,53,26,54,25,6.20,0.08,6.28,114.7,108.5,100.0,.304,.460,.583,.544,13.3,24.7,.233,.518,13.4,75.7,.193
Los Angeles Clippers,30.0,49,31,50,30,3.79,0.12,3.91,112.3,108.4,96.1,.312,.330,.574,.536,12.2,21.4,.232,.506,12.1,76.8,.212
Utah Jazz,26.8,49,31,51,29,3.91,-0.17,3.75,109.5,105.3,91.5,.290,.326,.563,.526,13.2,23.2,.217,.492,11.7,79.0,.196
Toronto Raptors,26.1,49,31,50,30,3.96,-0.54,3.42,112.2,108.0,94.8,.294,.287,.561,.516,11.8,25.1,.235,.508,13.6,76.1,.224
Cleveland Cavaliers,29.1,51,28,48,31,3.54,-0.39,3.16,113.9,110.2,96.2,.276,.397,.580,.548,12.5,22.0,.206,.516,11.5,75.7,.172
Boston Celtics,25.9,51,29,46,34,2.36,-0.31,2.05,111.1,108.7,96.7,.273,.392,.567,.525,12.3,21.2,.221,.504,12.6,75.2,.222
Washington Wizards,26.0,48,32,45,35,1.90,-0.46,1.44,111.3,109.3,97.4,.256,.285,.564,.528,12.8,24.2,.200,.524,13.8,75.5,.217
Memphis Grizzlies,29.5,43,37,42,38,0.75,0.52,1.27,107.8,107.0,92.4,.281,.317,.535,.491,12.1,24.7,.220,.505,13.6,77.6,.257
Oklahoma City Thunder,24.6,45,34,42,37,0.82,0.40,1.22,108.4,107.6,97.8,.298,.297,.541,.501,13.2,27.7,.221,.511,12.5,78.8,.218
Miami Heat,26.5,39,41,43,37,0.95,-0.34,0.61,107.7,106.7,95.1,.251,.314,.540,.512,12.3,24.2,.177,.495,12.6,76.2,.221
Denver Nuggets,25.3,38,41,40,39,0.24,0.21,0.45,113.4,113.2,98.2,.277,.326,.567,.529,13.1,27.7,.214,.535,10.9,78.7,.196
Charlotte Hornets,26.6,36,44,42,38,0.66,-0.26,0.40,109.3,108.6,95.8,.281,.337,.550,.503,10.7,19.8,.230,.523,12.0,79.7,.165
Portland Trail Blazers,24.9,40,40,39,41,-0.51,0.24,-0.27,110.4,110.9,96.7,.278,.322,.560,.520,12.4,22.8,.217,.509,11.6,76.9,.243
Milwaukee Bucks,25.6,41,39,40,40,-0.09,-0.32,-0.41,109.3,109.4,94.6,.277,.290,.565,.528,13.1,21.5,.213,.519,13.8,75.3,.217
Minnesota Timberwolves,23.9,31,48,37,42,-1.05,0.48,-0.57,110.8,111.9,94.5,.287,.250,.555,.510,12.9,27.4,.230,.535,13.3,76.3,.213
Chicago Bulls,27.0,39,41,38,42,-0.64,-0.21,-0.85,107.1,107.8,95.2,.260,.255,.529,.486,12.3,27.0,.208,.511,12.3,76.6,.169
Indiana Pacers,27.0,40,40,39,41,-0.56,-0.33,-0.89,108.3,108.9,96.0,.262,.273,.556,.514,12.8,21.1,.212,.512,13.5,75.4,.224
Detroit Pistons,25.4,36,43,36,43,-1.23,-0.14,-1.37,105.9,107.2,95.0,.220,.261,.521,.492,10.9,24.0,.158,.515,12.0,81.2,.198
Atlanta Hawks,27.9,41,38,37,42,-1.01,-0.41,-1.42,104.8,105.8,97.5,.294,.307,.540,.503,14.2,23.7,.214,.508,13.8,76.2,.179
New Orleans Pelicans,25.7,33,47,35,45,-2.04,0.52,-1.52,105.4,107.5,98.0,.256,.309,.540,.504,11.7,18.6,.192,.509,12.4,76.8,.179
Dallas Mavericks,27.7,32,47,32,47,-2.73,0.45,-2.28,105.6,108.5,92.1,.224,.363,.542,.505,11.6,18.0,.180,.529,14.4,77.8,.218
Sacramento Kings,28.0,31,48,29,50,-4.00,0.55,-3.45,106.8,111.0,94.7,.282,.293,.555,.514,13.9,21.1,.218,.527,13.1,76.3,.227
New York Knicks,27.3,30,50,31,49,-3.61,-0.18,-3.79,107.6,111.3,96.1,.238,.278,.533,.495,12.4,26.5,.187,.510,11.7,74.1,.214
Phoenix Suns,25.1,23,57,26,54,-5.63,0.58,-5.05,106.4,112.0,100.3,.297,.255,.538,.493,13.5,26.1,.231,.525,13.2,76.4,.264
Philadelphia 76ers,24.6,28,52,25,55,-5.71,-0.10,-5.81,102.8,108.6,98.6,.257,.350,.538,.500,14.9,22.1,.198,.511,13.4,75.7,.234
Orlando Magic,25.3,28,52,24,56,-6.20,-0.04,-6.24,103.9,110.3,96.8,.247,.300,.525,.490,12.1,21.7,.184,.523,12.0,77.5,.203
Brooklyn Nets,26.0,20,60,25,55,-6.30,-0.05,-6.35,104.5,110.7,101.2,.288,.371,.553,.510,14.7,19.6,.226,.513,11.6,76.1,.213
Los Angeles Lakers,25.1,24,55,22,57,-7.11,0.50,-6.61,106.1,113.3,98.4,.260,.296,.537,.501,13.5,25.1,.197,.542,12.9,75.7,.212
