team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Golden State Warriors,43.2,87.2,12.0,31.3,31.1,55.9,17.9,22.6,.790,9.4,35.0,44.4,30.5,9.6,6.8,14.7,19.4,116.2
Houston Rockets,40.3,87.2,14.4,40.1,25.9,47.1,20.3,26.5,.765,10.9,33.5,44.4,25.1,8.2,4.3,15.2,19.9,115.2
Denver Nuggets,41.2,87.9,10.6,28.6,30.7,59.2,18.8,24.4,.773,12.0,34.4,46.4,25.3,7.0,3.9,14.9,19.2,111.8
Washington Wizards,41.3,87.1,9.3,24.8,32.0,62.2,17.5,22.3,.783,10.3,32.6,42.9,23.9,8.5,4.2,14.2,21.5,109.3
Cleveland Cavaliers,40.0,84.8,13.0,33.7,27.0,51.1,17.5,23.4,.747,9.3,34.3,43.6,22.7,6.6,4.0,13.5,18.0,110.4
Los Angeles Clippers,39.4,83.1,10.3,27.4,29.2,55.7,19.3,25.9,.744,9.0,34.0,43.0,22.4,7.5,4.3,13.1,19.9,108.4
Portland Trail Blazers,39.6,86.1,10.3,27.7,29.2,58.4,18.7,23.9,.782,10.0,33.5,43.5,21.2,7.1,5.0,13.6,21.3,108.2
Boston Celtics,38.6,85.0,12.0,33.3,26.6,51.6,18.8,23.2,.808,9.1,32.8,41.8,25.1,7.5,4.2,13.3,20.6,107.9
Phoenix Suns,39.8,88.4,7.5,22.6,32.3,65.8,20.4,26.3,.777,11.9,33.1,45.0,19.5,8.2,4.9,15.6,24.9,107.5
Toronto Raptors,39.1,84.4,8.8,24.2,30.3,60.2,19.8,24.9,.797,10.7,32.5,43.2,18.5,8.3,5.0,12.8,20.9,106.9
Brooklyn Nets,38.0,85.2,10.8,31.6,27.2,53.6,19.3,24.5,.786,8.8,35.0,43.8,21.5,7.2,4.7,16.6,21.1,106.2
Charlotte Hornets,37.9,85.4,10.2,28.8,27.7,56.6,19.6,24.0,.816,8.7,35.0,43.7,23.2,6.9,4.8,11.5,16.7,105.6
San Antonio Spurs,39.3,83.7,9.2,23.6,30.1,60.1,17.7,22.2,.798,9.9,34.0,43.9,24.0,8.0,6.0,13.4,18.3,105.5
Oklahoma City Thunder,39.5,87.2,8.5,25.9,31.0,61.3,19.3,25.9,.744,12.1,34.3,46.4,21.0,7.9,5.0,15.1,20.9,106.7
Indiana Pacers,39.2,84.6,8.7,23.1,30.5,61.5,17.9,22.1,.810,9.0,33.0,42.0,22.4,8.2,5.0,13.8,19.5,104.9
New Orleans Pelicans,39.2,87.0,9.4,26.9,29.8,60.1,16.7,22.3,.750,8.6,35.2,43.8,22.7,7.8,5.5,12.8,18.2,104.5
New York Knicks,39.6,88.6,8.6,24.6,31.0,64.0,16.6,21.1,.788,12.0,33.3,45.3,21.8,7.1,5.6,13.9,20.4,104.3
Minnesota Timberwolves,39.4,84.4,7.4,21.1,32.0,63.3,19.4,24.2,.800,11.5,30.9,42.5,23.4,7.9,4.5,14.0,20.2,105.5
Milwaukee Bucks,38.9,81.9,8.7,23.7,30.2,58.2,17.5,22.7,.768,8.8,31.5,40.3,24.1,8.2,5.3,13.9,20.3,103.9
Los Angeles Lakers,39.2,87.3,9.0,25.8,30.3,61.5,17.2,22.7,.756,11.4,32.2,43.6,20.8,8.1,3.9,15.1,20.7,104.6
Miami Heat,38.9,85.7,9.9,26.9,29.1,58.7,15.2,21.5,.705,10.6,32.9,43.5,21.2,7.2,5.8,13.4,20.5,102.8
Chicago Bulls,38.5,87.0,7.5,22.2,31.0,64.8,18.1,22.6,.797,12.2,33.8,46.0,22.4,7.7,4.8,13.6,17.8,102.5
Philadelphia 76ers,37.6,85.3,10.1,29.8,27.5,55.5,16.9,21.9,.770,9.8,33.3,43.0,23.9,8.4,5.2,16.7,21.9,102.2
Atlanta Hawks,38.1,84.5,8.9,25.9,29.2,58.5,18.1,24.9,.726,10.3,34.1,44.4,23.5,8.3,4.9,15.8,18.2,103.1
Orlando Magic,38.4,87.0,8.5,26.1,29.8,60.9,16.0,21.5,.745,9.9,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.3
Sacramento Kings,37.7,82.0,9.0,24.1,28.6,57.9,17.9,23.1,.774,8.8,32.3,41.1,22.3,7.7,4.1,14.8,20.4,102.3
Memphis Grizzlies,36.4,83.7,9.4,26.5,27.1,57.1,18.5,23.5,.784,10.8,32.1,42.9,21.3,8.0,4.2,12.9,22.5,100.7
Utah Jazz,36.9,79.3,9.6,25.8,27.3,53.5,17.2,23.0,.749,9.4,33.9,43.3,20.0,6.7,5.0,13.6,18.9,100.7
Detroit Pistons,39.8,88.6,7.5,23.1,32.3,65.5,14.0,19.5,.721,11.0,34.7,45.7,21.1,7.0,3.8,11.9,18.0,101.2
Dallas Mavericks,36.2,82.2,10.6,29.8,25.5,52.4,14.8,18.4,.803,7.8,30.7,38.5,20.7,7.5,3.8,11.9,19.2,97.8
