team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.1,22,5,11.74,-1.36,10.38,116.3,104.6,100.1,.275,.362,.598,.562,13.2,22.8,.216,.481,12.9,74.2,.210
Toronto Raptors,26.1,19,6,8.88,0.70,9.58,117.6,108.3,94.8,.308,.289,.581,.533,11.0,26.3,.253,.511,14.2,73.9,.212
Los Angeles Clippers,30.0,20,6,8.77,-0.30,8.48,113.2,104.2,96.3,.331,.318,.571,.529,11.7,23.1,.251,.493,13.7,77.8,.218
Cleveland Cavaliers,29.2,18,6,7.58,0.54,8.12,114.1,106.3,96.4,.299,.396,.578,.541,12.8,23.6,.226,.496,12.0,74.4,.160
Houston Rockets,27.2,18,8,6.92,-0.12,6.81,114.6,107.6,97.7,.268,.437,.586,.555,14.3,26.9,.199,.510,13.3,77.1,.210
San Antonio Spurs,29.8,18,8,6.04,-0.17,5.87,110.5,104.1,93.9,.275,.274,.567,.523,12.6,21.6,.227,.497,13.5,78.4,.196
Utah Jazz,26.4,18,8,5.58,-0.41,5.17,110.3,104.2,91.4,.291,.340,.572,.531,12.8,20.8,.227,.477,11.3,77.4,.193
Detroit Pistons,25.8,17,10,3.26,0.09,3.35,105.6,102.1,93.7,.209,.243,.525,.494,11.2,22.2,.158,.482,12.0,79.7,.195
Charlotte Hornets,26.7,15,11,1.88,-0.43,1.45,106.5,104.6,96.8,.311,.326,.539,.496,11.1,19.5,.234,.500,11.7,80.0,.151
Boston Celtics,25.7,13,12,1.16,0.16,1.32,108.9,107.6,95.8,.236,.361,.548,.512,11.5,21.5,.185,.498,12.9,74.6,.224
Chicago Bulls,27.8,14,11,2.24,-1.16,1.08,107.6,105.3,95.2,.293,.226,.526,.476,12.3,29.1,.236,.497,12.1,75.5,.150
Oklahoma City Thunder,24.7,14,12,0.69,0.01,0.70,105.7,105.0,98.3,.283,.293,.536,.501,13.8,25.5,.203,.501,12.6,78.0,.195
Milwaukee Bucks,25.5,13,11,0.88,-0.56,0.32,107.2,106.3,96.7,.258,.289,.549,.512,13.2,23.0,.198,.493,13.3,76.0,.229
Memphis Grizzlies,28.1,14,13,0.11,0.05,0.17,102.0,101.9,93.3,.283,.296,.515,.469,12.9,23.5,.220,.489,14.6,79.9,.257
Portland Trail Blazers,25.1,12,16,-2.04,0.43,-1.61,110.9,112.9,98.2,.275,.338,.562,.520,12.2,22.2,.219,.513,11.7,75.2,.261
Sacramento Kings,28.9,11,14,-2.08,0.17,-1.91,106.3,108.4,95.4,.285,.286,.538,.495,13.0,22.9,.220,.522,14.4,75.7,.232
New York Knicks,27.4,11,15,-2.69,0.68,-2.01,107.2,110.0,96.7,.233,.284,.530,.494,12.4,26.3,.180,.501,12.1,73.8,.237
Miami Heat,26.2,10,16,-2.77,0.63,-2.14,103.3,106.2,93.9,.253,.290,.509,.481,12.0,26.0,.169,.487,12.2,75.5,.208
Atlanta Hawks,28.3,11,14,-1.84,-0.45,-2.29,102.7,104.5,98.9,.266,.308,.537,.505,15.1,24.1,.190,.510,14.3,77.3,.165
Denver Nuggets,25.2,11,15,-2.65,0.26,-2.39,107.1,109.7,98.4,.303,.296,.535,.492,14.2,28.9,.228,.514,11.0,79.3,.220
Minnesota Timberwolves,23.6,10,15,-3.00,0.58,-2.42,108.8,111.9,95.0,.301,.277,.544,.500,13.3,27.6,.233,.528,13.3,76.1,.243
Washington Wizards,26.1,10,14,-2.13,-0.47,-2.59,106.3,108.4,96.7,.246,.250,.538,.501,13.1,24.9,.191,.532,15.0,75.1,.211
Indiana Pacers,27.3,11,16,-2.26,-0.88,-3.14,104.9,107.1,97.8,.257,.265,.543,.501,13.1,19.8,.207,.507,14.3,74.2,.214
New Orleans Pelicans,25.5,10,17,-3.85,-0.01,-3.87,102.4,106.2,98.1,.273,.295,.528,.487,12.1,17.9,.210,.502,12.0,78.0,.177
Orlando Magic,25.5,9,18,-4.67,-0.47,-5.13,102.3,107.3,94.4,.248,.304,.515,.484,11.9,21.6,.175,.501,11.6,76.4,.186
Dallas Mavericks,27.5,7,18,-7.08,1.77,-5.31,101.0,108.7,91.5,.214,.360,.517,.481,12.3,19.5,.170,.531,15.0,77.8,.229
Los Angeles Lakers,26.1,8,20,-6.57,0.56,-6.01,105.4,112.0,99.1,.276,.285,.534,.493,14.2,26.3,.212,.537,12.9,75.5,.206
Phoenix Suns,26.0,8,18,-6.50,-0.41,-6.91,103.4,109.7,101.0,.290,.277,.530,.486,13.7,24.6,.222,.516,13.8,78.2,.271
Philadelphia 76ers,25.2,6,19,-7.64,0.57,-7.07,100.2,108.0,96.4,.228,.355,.530,.500,15.5,20.8,.166,.503,12.0,75.8,.211
Brooklyn Nets,26.6,6,18,-7.96,0.07,-7.89,103.9,111.7,101.6,.299,.388,.545,.500,14.8,21.3,.232,.527,12.3,75.0,.192
