Visitor,Home,Prediction,Result,Prediction_Outcome
Atlanta Hawks,Golden State Warriors,,,
Charlotte Hornets,Memphis Grizzlies,,,
Boston Celtics,Miami Heat,,,
Utah Jazz,Minnesota Timberwolves,,,
Oklahoma City Thunder,New York Knicks,,,
Philadelphia 76ers,Toronto Raptors,,,
Sacramento Kings,Washington Wizards,,,
Atlanta Hawks,Golden State Warriors,,,
Charlotte Hornets,Memphis Grizzlies,,,
Boston Celtics,Miami Heat,,,
Utah Jazz,Minnesota Timberwolves,,,
Oklahoma City Thunder,New York Knicks,,,
Philadelphia 76ers,Toronto Raptors,,,
Sacramento Kings,Washington Wizards,,,
