team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.1,60,14,60,14,11.55,-0.39,11.17,115.3,103.8,99.9,.264,.359,.597,.563,13.3,22.5,.207,.486,13.6,75.4,.201
San Antonio Spurs,29.6,57,16,55,18,8.15,-0.30,7.85,111.8,103.2,94.5,.268,.280,.568,.527,12.5,23.8,.216,.490,13.6,77.7,.200
Houston Rockets,27.5,51,23,52,22,6.77,0.01,6.78,115.2,108.5,99.8,.305,.462,.586,.548,13.3,24.6,.234,.520,13.6,76.1,.196
Toronto Raptors,26.1,45,29,47,27,4.26,-0.46,3.80,112.4,107.9,94.9,.296,.286,.561,.516,11.7,25.0,.237,.508,13.6,76.5,.226
Los Angeles Clippers,30.0,44,31,46,29,3.40,0.18,3.58,111.8,108.3,96.0,.308,.329,.569,.532,12.1,21.6,.229,.505,12.2,77.0,.215
Utah Jazz,26.8,45,29,46,28,3.66,-0.23,3.43,109.1,105.1,91.6,.291,.326,.560,.523,13.3,23.3,.219,.492,11.8,79.0,.195
Cleveland Cavaliers,29.1,47,26,44,29,3.22,-0.21,3.01,113.7,110.4,96.2,.280,.398,.579,.546,12.5,22.0,.209,.516,11.4,75.4,.172
Boston Celtics,25.9,48,26,43,31,2.68,-0.22,2.45,111.1,108.3,96.6,.269,.388,.567,.524,12.3,21.3,.219,.504,12.7,75.1,.220
Washington Wizards,26.0,46,28,43,31,2.50,-0.70,1.80,111.2,108.6,97.4,.255,.282,.564,.527,12.7,24.1,.200,.521,13.9,75.5,.214
Oklahoma City Thunder,24.6,42,31,39,34,0.84,0.44,1.27,108.6,107.8,97.9,.299,.294,.543,.503,13.3,27.7,.222,.513,12.6,78.7,.215
Memphis Grizzlies,29.5,40,34,38,36,0.53,0.65,1.17,107.6,107.0,92.6,.287,.315,.533,.488,12.0,25.0,.225,.506,13.8,77.9,.264
Miami Heat,26.4,36,38,39,35,0.70,-0.30,0.40,107.5,106.7,95.2,.249,.313,.539,.511,12.4,24.3,.175,.496,12.5,76.2,.221
Charlotte Hornets,26.6,33,41,39,35,0.76,-0.41,0.35,108.7,107.9,95.9,.278,.334,.546,.500,10.7,20.0,.225,.518,12.0,79.7,.166
Denver Nuggets,25.4,35,39,37,37,0.15,0.16,0.31,113.2,113.1,98.0,.280,.325,.566,.528,13.3,28.0,.217,.535,11.0,78.7,.196
Milwaukee Bucks,25.6,38,36,38,36,0.39,-0.27,0.12,110.0,109.5,94.7,.278,.285,.567,.529,13.0,21.9,.214,.520,13.7,75.4,.217
Minnesota Timberwolves,23.9,29,44,34,39,-0.89,0.47,-0.42,110.4,111.3,94.5,.284,.253,.555,.511,13.1,27.3,.226,.531,13.3,76.1,.211
Portland Trail Blazers,24.9,36,38,35,39,-0.89,0.16,-0.73,110.1,111.0,96.9,.279,.318,.560,.521,12.7,23.0,.216,.509,11.4,77.1,.243
Chicago Bulls,27.1,35,39,35,39,-0.92,0.02,-0.90,107.3,108.2,94.9,.265,.252,.528,.485,12.2,27.4,.211,.514,12.3,76.4,.167
Indiana Pacers,27.0,37,37,35,39,-0.86,-0.39,-1.26,107.8,108.7,96.2,.265,.270,.555,.513,12.8,20.8,.214,.509,13.5,75.1,.224
Detroit Pistons,25.4,34,41,34,41,-1.29,-0.17,-1.46,105.9,107.3,94.9,.222,.261,.521,.492,10.9,23.8,.160,.517,12.1,81.1,.199
New Orleans Pelicans,25.6,31,43,32,42,-1.97,0.48,-1.49,104.6,106.6,97.9,.257,.309,.537,.502,12.0,18.6,.191,.505,12.4,77.1,.179
Atlanta Hawks,28.0,38,36,34,40,-1.31,-0.29,-1.60,104.6,106.0,97.5,.297,.307,.540,.503,14.2,23.7,.215,.508,13.9,75.8,.178
Dallas Mavericks,27.8,31,42,30,43,-2.37,0.36,-2.01,105.5,108.1,92.1,.226,.360,.541,.504,11.6,18.1,.181,.528,14.6,77.8,.217
Sacramento Kings,28.2,29,45,28,46,-3.66,0.66,-3.00,107.2,111.1,94.6,.284,.297,.555,.514,13.6,21.1,.221,.528,13.2,76.3,.228
New York Knicks,27.4,28,46,29,45,-3.42,-0.26,-3.68,107.9,111.4,96.4,.239,.279,.536,.498,12.4,26.1,.189,.508,11.5,73.8,.215
Philadelphia 76ers,24.7,28,46,25,49,-5.16,-0.07,-5.23,103.0,108.1,98.7,.258,.345,.540,.502,15.0,22.0,.198,.507,13.4,75.6,.236
Phoenix Suns,25.3,22,53,24,51,-5.81,0.32,-5.49,105.9,111.7,100.1,.297,.256,.537,.491,13.5,25.5,.231,.524,13.3,76.6,.266
Orlando Magic,25.4,27,47,23,51,-6.08,0.09,-6.00,103.6,109.9,96.4,.246,.298,.523,.489,12.2,21.8,.181,.519,12.1,77.1,.203
Brooklyn Nets,26.1,16,58,21,53,-7.27,0.29,-6.98,104.2,111.4,101.2,.292,.372,.552,.508,14.8,19.8,.229,.515,11.4,76.0,.216
Los Angeles Lakers,25.2,21,53,20,54,-7.46,0.42,-7.04,105.9,113.5,98.7,.260,.299,.537,.501,13.5,24.7,.197,.541,12.8,75.5,.214
