"team_name","age","wins","losses","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_mp","opp_fg_pct","opp_avg_dist","opp_fg2a_pct_fga","opp_pct_fga_00_03","opp_pct_fga_03_10","opp_pct_fga_10_16","opp_pct_fga_16_xx","opp_fg3a_pct_fga","opp_fg2_pct","opp_fg_pct_00_03","opp_fg_pct_03_10","opp_fg_pct_10_16","opp_fg_pct_16_xx","opp_fg3_pct","opp_fg2_pct_ast","opp_pct_fg2_dunk","opp_fg2_dunk","opp_pct_fg2_layup","opp_fg2_layup","opp_fg3_pct_ast","opp_pct_fg3a_corner","opp_fg3_pct_corner","opp_fg","opp_fga","opp_fg3","opp_fg3a","opp_fg2","opp_fg2a","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","fg_pct","avg_dist","fg2a_pct_fga","pct_fga_00_03","pct_fga_03_10","pct_fga_10_16","pct_fga_16_xx","fg3a_pct_fga","fg2_pct","fg_pct_00_03","fg_pct_03_10","fg_pct_10_16","fg_pct_16_xx","fg3_pct","fg2_pct_ast","pct_fg2_dunk","fg2_dunk","pct_fg2_layup","fg2_layup","fg3_pct_ast","pct_fg3a_corner","fg3_pct_corner","fg3a_heave","fg3_heave","fg","fga","fg3","fg3a","fg2","fg2a","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","W_PCT","HOME_RECORD","ROAD_RECORD","L10","CurrentStreak"
"Golden State Warriors",28.1,60,14,60,14,11.55,-0.39,11.17,115.3,103.8,99.9,0.264,0.359,0.597,0.563,13.3,22.5,0.207,0.486,13.6,75.4,0.201,17860,0.435,13.2,0.685,0.292,0.157,0.097,0.138,0.315,0.486,0.622,0.38,0.365,0.403,0.325,0.507,0.051,305,0.249,924,0.829,0.201,0.358,38.7,88.9,9.1,28,29.6,60.9,17.9,23.4,0.764,11.5,32,43.5,22.6,8.6,3.9,15.6,19.6,104.3,0.494,14,0.641,0.302,0.104,0.106,0.129,0.359,0.557,0.691,0.409,0.439,0.457,0.382,0.66,0.075,448,0.235,922,0.833,0.21,0.412,28,1,42.9,86.9,11.9,31.3,31,55.7,18,22.9,0.787,9.3,35.2,44.5,30.4,9.7,6.6,14.8,19.4,115.9,0.813,0.885714285714286,0.75,0.9,9
"San Antonio Spurs",29.6,57,16,55,18,8.15,-0.3,7.85,111.8,103.2,94.5,0.268,0.28,0.568,0.527,12.5,23.8,0.216,0.49,13.6,77.7,0.2,17620,0.441,12.8,0.715,0.292,0.166,0.104,0.153,0.285,0.482,0.6,0.368,0.418,0.424,0.34,0.505,0.051,279,0.252,821,0.825,0.244,0.32,36.7,83.2,8.1,23.7,28.6,59.5,16.6,21.4,0.774,9.8,31.6,41.4,21.1,7.6,3.9,14.6,20.1,98.1,0.473,13.3,0.72,0.255,0.161,0.116,0.19,0.28,0.505,0.653,0.434,0.385,0.436,0.391,0.527,0.048,264,0.216,783,0.88,0.272,0.434,11,0,39.5,83.6,9.2,23.4,30.4,60.2,18,22.4,0.803,9.8,34,43.9,24.1,8.1,5.8,13.4,18.5,106.2,0.77,0.783783783783784,0.756756756756757,0.7,-1
"Houston Rockets",27.5,51,23,52,22,6.77,0.01,6.78,115.2,108.5,99.8,0.305,0.462,0.586,0.548,13.3,24.6,0.234,0.52,13.6,76.1,0.196,17860,0.464,13.4,0.671,0.29,0.163,0.078,0.139,0.329,0.521,0.691,0.413,0.384,0.374,0.346,0.504,0.049,305,0.259,1068,0.825,0.239,0.371,40.8,88,10,29,30.8,59,17.2,22.3,0.775,10.5,33.1,43.6,23.8,8.5,4.9,15.4,20.6,108.9,0.464,14.4,0.538,0.318,0.126,0.041,0.053,0.462,0.553,0.674,0.381,0.374,0.382,0.362,0.548,0.075,435,0.268,1036,0.773,0.204,0.401,13,0,40.4,86.9,14.5,40.2,25.9,46.8,20.4,26.5,0.768,10.8,33.4,44.2,25.4,8.4,4.3,15.1,20.1,115.6,0.689,0.736842105263158,0.638888888888889,0.7,-1
"Toronto Raptors",26.1,45,29,47,27,4.26,-0.46,3.8,112.4,107.9,94.9,0.296,0.286,0.561,0.516,11.7,25,0.237,0.508,13.6,76.5,0.226,17860,0.45,13.3,0.672,0.272,0.176,0.095,0.129,0.328,0.498,0.645,0.399,0.386,0.402,0.353,0.496,0.052,296,0.246,827,0.845,0.238,0.362,37.3,82.9,9.6,27.2,27.7,55.7,18.7,24,0.779,10,32.1,42.2,21.9,6.7,4.9,14.7,20.5,102.9,0.463,13.1,0.714,0.256,0.185,0.12,0.153,0.286,0.503,0.624,0.453,0.451,0.402,0.364,0.368,0.041,235,0.236,824,0.802,0.272,0.379,10,1,39.2,84.6,8.8,24.2,30.4,60.4,20,25,0.799,10.7,32.6,43.3,18.3,8.3,4.9,12.6,21,107.2,0.6,0.657894736842105,0.540540540540541,0.7,-1
"Los Angeles Clippers",30,44,31,46,29,3.4,0.18,3.58,111.8,108.3,96,0.308,0.329,0.569,0.532,12.1,21.6,0.229,0.505,12.2,77,0.215,18075,0.451,13.5,0.692,0.264,0.153,0.117,0.158,0.308,0.495,0.655,0.427,0.401,0.364,0.352,0.526,0.051,304,0.227,847,0.826,0.221,0.385,38.5,85.2,9.3,26.3,29.2,59,18.3,23.5,0.779,10.2,33.1,43.3,23,7.2,3.3,13.2,22.2,104.5,0.471,14.1,0.671,0.276,0.119,0.08,0.194,0.329,0.519,0.657,0.414,0.412,0.431,0.373,0.497,0.066,372,0.225,811,0.775,0.201,0.406,14,2,39.3,83.4,10.2,27.5,29,55.9,19.1,25.7,0.744,9.1,34,43.1,22.3,7.5,4.3,13.1,20,107.9,0.592,0.675675675675676,0.512820512820513,0.5,1
"Utah Jazz",26.8,45,29,46,28,3.66,-0.23,3.43,109.1,105.1,91.6,0.291,0.326,0.56,0.523,13.3,23.3,0.219,0.492,11.8,79,0.195,17835,0.442,12.7,0.719,0.292,0.165,0.113,0.149,0.281,0.475,0.594,0.392,0.387,0.4,0.358,0.409,0.049,257,0.245,796,0.777,0.194,0.381,36.2,82,8.3,23,28,58.9,16,21,0.762,9,31.3,40.3,17.9,7.2,3.8,12.2,20.3,96.7,0.463,13,0.674,0.295,0.153,0.104,0.121,0.326,0.509,0.647,0.418,0.43,0.36,0.366,0.449,0.068,369,0.233,779,0.792,0.272,0.372,13,1,36.8,79.4,9.5,25.9,27.3,53.5,17.4,23.1,0.752,9.5,33.9,43.4,19.8,6.7,4.9,13.7,19,100.4,0.613,0.675675675675676,0.552631578947368,0.5,2
"Cleveland Cavaliers",29.1,47,26,44,29,3.22,-0.21,3.01,113.7,110.4,96.2,0.28,0.398,0.579,0.546,12.5,22,0.209,0.516,11.4,75.4,0.172,17620,0.458,13.2,0.682,0.295,0.147,0.105,0.134,0.318,0.503,0.631,0.401,0.402,0.414,0.363,0.519,0.048,276,0.252,934,0.836,0.236,0.372,40.7,88.7,10.2,28.2,30.4,60.5,15.3,19.7,0.775,11.1,33.1,44.2,24.4,7.2,4.4,12.6,20.6,106.8,0.47,14.3,0.602,0.286,0.108,0.094,0.114,0.398,0.525,0.662,0.346,0.431,0.428,0.385,0.436,0.058,330,0.234,846,0.832,0.29,0.421,6,0,39.7,84.5,12.9,33.6,26.8,50.9,17.7,23.6,0.749,9.3,34.1,43.4,22.4,6.6,4,13.6,17.9,110,0.644,0.777777777777778,0.513513513513513,0.5,-2
"Boston Celtics",25.9,48,26,43,31,2.68,-0.22,2.45,111.1,108.3,96.6,0.269,0.388,0.567,0.524,12.3,21.3,0.219,0.504,12.7,75.1,0.22,17835,0.451,13.4,0.685,0.28,0.161,0.093,0.15,0.315,0.506,0.627,0.429,0.401,0.427,0.332,0.501,0.047,276,0.241,869,0.848,0.21,0.353,38.7,85.7,9,27,29.7,58.7,18.8,24.8,0.759,10.9,33.7,44.6,22.5,7.6,5.2,14.1,20.2,105.1,0.454,14.1,0.612,0.294,0.133,0.072,0.111,0.388,0.513,0.632,0.39,0.421,0.404,0.362,0.562,0.032,185,0.272,1000,0.837,0.216,0.416,18,0,38.6,85.1,11.9,33,26.7,52,18.6,22.9,0.813,9.1,32.7,41.9,25,7.6,4.2,13.4,20.5,107.8,0.64,0.72972972972973,0.552631578947368,0.7,-1
"Washington Wizards",26,46,28,43,31,2.5,-0.7,1.8,111.2,108.6,97.4,0.255,0.282,0.564,0.527,12.7,24.1,0.2,0.521,13.9,75.5,0.214,17935,0.463,13.4,0.681,0.292,0.149,0.099,0.141,0.319,0.511,0.637,0.405,0.452,0.402,0.362,0.495,0.051,299,0.247,890,0.824,0.211,0.395,39.4,85.1,9.8,27.2,29.6,57.9,18.2,24.2,0.751,10.6,32.5,43.1,22.8,7.4,4.6,15.5,19.9,106.9,0.475,13,0.718,0.298,0.138,0.109,0.174,0.282,0.515,0.631,0.437,0.422,0.437,0.371,0.501,0.046,267,0.26,980,0.862,0.256,0.354,9,0,41.4,87.2,9.1,24.6,32.3,62.6,17.5,22.2,0.786,10.3,32.8,43.1,24.1,8.5,4.2,14.1,21.4,109.4,0.613,0.743589743589744,0.472222222222222,0.5,-1
"Oklahoma City Thunder",24.6,42,31,39,34,0.84,0.44,1.27,108.6,107.8,97.9,0.299,0.294,0.543,0.503,13.3,27.7,0.222,0.513,12.6,78.7,0.215,17620,0.461,12.1,0.71,0.321,0.176,0.101,0.112,0.29,0.502,0.623,0.408,0.408,0.387,0.36,0.461,0.052,282,0.278,998,0.833,0.237,0.396,39.4,85.5,8.9,24.8,30.5,60.7,18.4,24.1,0.763,9.2,31.3,40.6,21.5,8.5,5.4,13.8,20.9,106.1,0.455,12,0.706,0.342,0.148,0.106,0.109,0.294,0.508,0.62,0.421,0.406,0.375,0.328,0.465,0.065,367,0.28,990,0.786,0.258,0.342,17,2,39.6,87.1,8.4,25.6,31.2,61.5,19.4,26,0.744,12,34.2,46.2,21.1,7.9,5,15.1,20.9,107,0.581,0.72972972972973,0.432432432432432,0.8,2
"Memphis Grizzlies",29.5,40,34,38,36,0.53,0.65,1.17,107.6,107,92.6,0.287,0.315,0.533,0.488,12,25,0.225,0.506,13.8,77.9,0.264,17960,0.443,14,0.642,0.272,0.146,0.088,0.136,0.358,0.495,0.625,0.428,0.384,0.377,0.351,0.482,0.043,226,0.243,802,0.827,0.244,0.404,34.8,78.5,9.9,28.1,24.9,50.4,20.7,27.5,0.754,9,33,42,20.2,6.9,5.1,14.5,21.2,100.2,0.433,13.4,0.685,0.289,0.157,0.094,0.145,0.315,0.472,0.576,0.417,0.386,0.379,0.349,0.5,0.031,173,0.269,891,0.812,0.191,0.414,26,0,36.3,83.9,9.2,26.4,27.1,57.5,18.8,24.1,0.783,11,31.9,43,21.1,8.1,4.1,12.9,22.8,100.7,0.547,0.611111111111111,0.487179487179487,0.5,1
"Miami Heat",26.4,36,38,39,35,0.7,-0.3,0.4,107.5,106.7,95.2,0.249,0.313,0.539,0.511,12.4,24.3,0.175,0.496,12.5,76.2,0.221,17835,0.449,12.4,0.731,0.305,0.164,0.119,0.143,0.269,0.488,0.586,0.428,0.461,0.37,0.344,0.437,0.044,252,0.267,871,0.834,0.24,0.368,37.8,84.2,7.8,22.6,30,61.5,18.6,23.9,0.778,10.3,33.4,43.7,19.6,6.8,4.9,13.6,18.7,102,0.454,13,0.687,0.289,0.167,0.094,0.136,0.313,0.497,0.628,0.415,0.39,0.392,0.361,0.431,0.053,315,0.238,836,0.886,0.302,0.405,13,0,39,85.9,9.7,26.9,29.3,59,15,21.4,0.702,10.8,33,43.8,21.2,7.1,5.7,13.4,20.6,102.7,0.493,0.567567567567568,0.421052631578947,0.6,2
"Charlotte Hornets",26.6,33,41,39,35,0.76,-0.41,0.35,108.7,107.9,95.9,0.278,0.334,0.546,0.5,10.7,20,0.225,0.518,12,79.7,0.166,17910,0.453,14,0.64,0.289,0.115,0.088,0.148,0.36,0.506,0.603,0.432,0.434,0.416,0.36,0.514,0.04,227,0.252,907,0.868,0.231,0.386,39.3,86.8,11.3,31.3,28.1,55.5,14.4,18.6,0.773,9,35.5,44.5,24.2,6.7,5.6,12.9,20.1,104.3,0.442,13.7,0.666,0.286,0.133,0.096,0.15,0.334,0.488,0.611,0.4,0.407,0.382,0.35,0.55,0.034,199,0.258,928,0.794,0.138,0.37,14,0,37.9,85.7,10,28.6,27.8,57.1,19.3,23.8,0.813,8.9,35.2,44.1,23.3,6.8,4.8,11.6,16.7,105.1,0.453,0.552631578947368,0.351351351351351,0.5,1
"Denver Nuggets",25.4,35,39,37,37,0.15,0.16,0.31,113.2,113.1,98,0.28,0.325,0.566,0.528,13.3,28,0.217,0.535,11,78.7,0.196,17835,0.48,13.1,0.706,0.288,0.15,0.103,0.166,0.294,0.521,0.64,0.468,0.455,0.404,0.38,0.497,0.051,310,0.245,925,0.826,0.219,0.4,42.1,87.9,9.8,25.8,32.4,62.1,17.2,22,0.783,9.3,31.2,40.5,24.2,8.4,4.8,12.1,20.3,111.3,0.467,12.7,0.675,0.329,0.157,0.077,0.113,0.325,0.515,0.622,0.44,0.384,0.393,0.37,0.522,0.052,304,0.284,1036,0.872,0.192,0.377,16,0,41,87.6,10.5,28.5,30.4,59.1,19,24.5,0.773,12.1,34.2,46.3,25.1,7,4,15.1,19.3,111.4,0.473,0.538461538461538,0.4,0.6,-2
"Milwaukee Bucks",25.6,38,36,38,36,0.39,-0.27,0.12,110,109.5,94.7,0.278,0.285,0.567,0.529,13,21.9,0.214,0.52,13.7,75.4,0.217,17835,0.46,13,0.663,0.323,0.139,0.092,0.109,0.337,0.511,0.624,0.429,0.386,0.39,0.359,0.545,0.054,302,0.274,944,0.865,0.294,0.396,38.1,82.9,10,27.9,28.1,54.9,18,23.4,0.77,10.3,31.9,42.2,24,7.2,4.7,14.8,19.5,104.2,0.476,11.6,0.715,0.36,0.17,0.076,0.109,0.285,0.519,0.641,0.399,0.381,0.398,0.371,0.534,0.075,419,0.288,986,0.922,0.281,0.38,11,0,39.2,82.2,8.7,23.5,30.5,58.7,17.6,22.8,0.77,8.9,31.5,40.4,24.3,8.2,5.4,13.8,20.3,104.6,0.52,0.552631578947368,0.486486486486487,0.7,2
"Minnesota Timberwolves",23.9,29,44,34,39,-0.89,0.47,-0.42,110.4,111.3,94.5,0.284,0.253,0.555,0.511,13.1,27.3,0.226,0.531,13.3,76.1,0.211,17645,0.474,13,0.681,0.313,0.142,0.09,0.135,0.319,0.526,0.658,0.44,0.408,0.391,0.362,0.488,0.06,348,0.264,932,0.853,0.219,0.415,39.4,83.2,9.6,26.6,29.8,56.6,17.5,22.8,0.767,9.8,30.5,40.3,22.7,7.7,4.9,14.3,20.5,105.9,0.467,12.4,0.747,0.303,0.163,0.099,0.182,0.253,0.507,0.637,0.441,0.398,0.409,0.35,0.53,0.059,340,0.249,862,0.877,0.264,0.388,9,0,39.3,84.1,7.5,21.3,31.8,62.8,19,23.9,0.795,11.5,31,42.4,23.4,7.9,4.6,14.2,20.2,105,0.397,0.486486486486487,0.305555555555556,0.3,1
"Portland Trail Blazers",24.9,36,38,35,39,-0.89,0.16,-0.73,110.1,111,96.9,0.279,0.318,0.56,0.521,12.7,23,0.216,0.509,11.4,77.1,0.243,18010,0.454,13.2,0.703,0.278,0.163,0.109,0.154,0.297,0.488,0.578,0.436,0.441,0.411,0.373,0.439,0.04,224,0.239,800,0.806,0.2,0.371,39.2,86.5,9.6,25.7,29.6,60.8,21,26.8,0.784,10.1,33.9,43.9,20.7,7.9,5.3,12.7,19.9,109,0.461,13.3,0.682,0.298,0.142,0.093,0.149,0.318,0.503,0.596,0.425,0.449,0.424,0.373,0.451,0.047,272,0.248,844,0.791,0.204,0.383,15,0,39.7,86,10.2,27.4,29.5,58.6,18.6,24,0.775,10.1,33.8,43.9,21.4,6.9,5,14,21.5,108.1,0.486,0.571428571428571,0.41025641025641,0.8,4
"Chicago Bulls",27.1,35,39,35,39,-0.92,0.02,-0.9,107.3,108.2,94.9,0.265,0.252,0.528,0.485,12.2,27.4,0.211,0.514,12.3,76.4,0.167,17860,0.462,12.8,0.705,0.309,0.153,0.094,0.148,0.295,0.507,0.616,0.419,0.425,0.421,0.354,0.523,0.05,299,0.278,983,0.846,0.233,0.391,39.9,86.5,9,25.5,30.9,61,14.4,18.8,0.769,10.3,32.7,43,23.8,7.3,4.6,13.3,18.9,103.4,0.443,12.6,0.748,0.278,0.171,0.121,0.178,0.252,0.481,0.595,0.454,0.396,0.385,0.331,0.512,0.038,223,0.255,900,0.871,0.284,0.416,8,0,38.5,86.8,7.2,21.9,31.2,65,18.3,23,0.794,12.3,33.5,45.8,22.3,7.7,4.8,13.5,17.7,102.4,0.473,0.567567567567568,0.378378378378378,0.4,1
"Indiana Pacers",27,37,37,35,39,-0.86,-0.39,-1.26,107.8,108.7,96.2,0.265,0.27,0.555,0.513,12.8,20.8,0.214,0.509,13.5,75.1,0.224,17885,0.449,14,0.657,0.263,0.146,0.095,0.153,0.343,0.502,0.627,0.432,0.438,0.391,0.349,0.483,0.047,266,0.249,870,0.88,0.254,0.389,38.1,84.7,10.1,29,27.9,55.7,19,24.1,0.789,10.9,33.8,44.7,22.4,8.1,5.1,14.9,19.6,105.3,0.463,13.4,0.73,0.236,0.188,0.107,0.199,0.27,0.496,0.619,0.468,0.417,0.42,0.372,0.499,0.034,195,0.231,828,0.84,0.26,0.407,18,1,39,84.2,8.5,22.7,30.5,61.5,18,22.3,0.808,8.9,33,41.8,22.3,8.2,5,13.8,19.6,104.4,0.493,0.684210526315789,0.297297297297297,0.4,-2
"Detroit Pistons",25.4,34,41,34,41,-1.29,-0.17,-1.46,105.9,107.3,94.9,0.222,0.261,0.521,0.492,10.9,23.8,0.16,0.517,12.1,81.1,0.199,18100,0.461,13.3,0.698,0.262,0.17,0.115,0.15,0.302,0.503,0.657,0.376,0.45,0.42,0.365,0.531,0.037,212,0.229,874,0.863,0.223,0.399,38.4,83.1,9.2,25.1,29.2,58,16.5,21.2,0.779,8,34.7,42.8,23.4,6.7,4.1,12.7,17.6,102.4,0.449,12.9,0.739,0.252,0.19,0.14,0.156,0.261,0.492,0.642,0.391,0.446,0.415,0.327,0.457,0.044,264,0.213,821,0.834,0.197,0.379,30,1,39.7,88.4,7.5,23.1,32.2,65.3,14.2,19.6,0.723,10.9,34.5,45.4,21,7,3.8,11.9,17.9,101.1,0.453,0.605263157894737,0.297297297297297,0.2,-5
"New Orleans Pelicans",25.6,31,43,32,42,-1.97,0.48,-1.49,104.6,106.6,97.9,0.257,0.309,0.537,0.502,12,18.6,0.191,0.505,12.4,77.1,0.179,17985,0.446,13.6,0.662,0.287,0.15,0.097,0.129,0.338,0.496,0.643,0.374,0.395,0.387,0.347,0.498,0.055,330,0.243,921,0.816,0.217,0.366,39.6,88.9,10.4,30.1,29.2,58.8,15.9,20.8,0.764,10.6,37.7,48.3,23.1,7.5,4.3,13.9,19.4,105.6,0.448,13.3,0.691,0.275,0.172,0.094,0.149,0.309,0.49,0.619,0.411,0.43,0.379,0.353,0.498,0.046,277,0.241,868,0.837,0.219,0.374,11,0,38.8,86.7,9.4,26.8,29.4,59.9,16.6,22.3,0.745,8.6,35.6,44.2,22.5,7.8,5.5,13.1,18.4,103.7,0.427,0.526315789473684,0.324324324324324,0.7,1
"Atlanta Hawks",28,38,36,34,40,-1.31,-0.29,-1.6,104.6,106,97.5,0.297,0.307,0.54,0.503,14.2,23.7,0.215,0.508,13.9,75.8,0.178,17935,0.446,14,0.655,0.266,0.126,0.104,0.159,0.345,0.491,0.586,0.417,0.424,0.432,0.361,0.505,0.043,251,0.227,766,0.843,0.256,0.409,38.9,87.3,10.9,30.1,28.1,57.2,15.6,20.3,0.767,10.8,33.2,44,23.3,9.2,5.3,15.5,21.8,104.3,0.451,12.9,0.693,0.329,0.117,0.094,0.152,0.307,0.501,0.619,0.345,0.393,0.429,0.338,0.536,0.054,308,0.285,986,0.877,0.236,0.386,11,0,38,84.4,8.8,25.9,29.3,58.5,18.2,25.1,0.724,10.3,34,44.3,23.4,8.4,5,15.8,18.1,103,0.52,0.526315789473684,0.513513513513513,0.3,2
"Dallas Mavericks",27.8,31,42,30,43,-2.37,0.36,-2.01,105.5,108.1,92.1,0.226,0.36,0.541,0.504,11.6,18.1,0.181,0.528,14.6,77.8,0.217,17620,0.468,13.6,0.684,0.258,0.157,0.11,0.16,0.316,0.51,0.673,0.44,0.409,0.385,0.378,0.485,0.045,237,0.216,768,0.808,0.261,0.414,36.8,78.6,9.4,24.9,27.4,53.7,17.1,22.2,0.77,8.8,35.5,44.3,20.9,6.5,3.5,15.2,19.7,100.1,0.44,15.1,0.64,0.198,0.131,0.12,0.191,0.36,0.487,0.631,0.445,0.445,0.394,0.357,0.466,0.037,196,0.166,569,0.818,0.197,0.372,12,0,36.2,82.2,10.5,29.5,25.6,52.6,14.8,18.5,0.8,7.8,30.6,38.5,20.6,7.7,3.7,11.9,19.2,97.7,0.419,0.538461538461538,0.285714285714286,0.3,-3
