team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.451,12.9,.693,.329,.117,.094,.152,.307,.501,.619,.345,.393,.429,.338,.536,.054,308,.285,986,.877,.236,.386,11,0
Boston Celtics,.454,14.1,.612,.294,.133,.072,.111,.388,.513,.632,.390,.421,.404,.362,.562,.032,185,.272,1000,.837,.216,.416,18,0
Brooklyn Nets,.445,13.1,.628,.310,.175,.075,.069,.372,.505,.611,.423,.388,.366,.342,.449,.035,199,.301,1061,.848,.221,.376,18,0
Chicago Bulls,.443,12.6,.748,.278,.171,.121,.178,.252,.481,.595,.454,.396,.385,.331,.512,.038,223,.255,900,.871,.284,.416,8,0
Charlotte Hornets,.442,13.7,.666,.286,.133,.096,.150,.334,.488,.611,.400,.407,.382,.350,.550,.034,199,.258,928,.794,.138,.370,14,0
Cleveland Cavaliers,.470,14.3,.602,.286,.108,.094,.114,.398,.525,.662,.346,.431,.428,.385,.436,.058,330,.234,846,.832,.290,.421,6,0
Dallas Mavericks,.440,15.1,.640,.198,.131,.120,.191,.360,.487,.631,.445,.445,.394,.357,.466,.037,196,.166,569,.818,.197,.372,12,0
Denver Nuggets,.467,12.7,.675,.329,.157,.077,.113,.325,.515,.622,.440,.384,.393,.370,.522,.052,304,.284,1036,.872,.192,.377,16,0
Detroit Pistons,.449,12.9,.739,.252,.190,.140,.156,.261,.492,.642,.391,.446,.415,.327,.457,.044,264,.213,821,.834,.197,.379,30,1
Golden State Warriors,.494,14.0,.641,.302,.104,.106,.129,.359,.557,.691,.409,.439,.457,.382,.660,.075,448,.235,922,.833,.210,.412,28,1
Houston Rockets,.464,14.4,.538,.318,.126,.041,.053,.462,.553,.674,.381,.374,.382,.362,.548,.075,435,.268,1036,.773,.204,.401,13,0
Indiana Pacers,.463,13.4,.730,.236,.188,.107,.199,.270,.496,.619,.468,.417,.420,.372,.499,.034,195,.231,828,.840,.260,.407,18,1
Los Angeles Clippers,.471,14.1,.671,.276,.119,.080,.194,.329,.519,.657,.414,.412,.431,.373,.497,.066,372,.225,811,.775,.201,.406,14,2
Los Angeles Lakers,.448,12.6,.701,.291,.189,.102,.119,.299,.491,.631,.394,.386,.395,.349,.456,.054,314,.243,885,.775,.221,.379,16,1
Memphis Grizzlies,.433,13.4,.685,.289,.157,.094,.145,.315,.472,.576,.417,.386,.379,.349,.500,.031,173,.269,891,.812,.191,.414,26,0
Miami Heat,.454,13.0,.687,.289,.167,.094,.136,.313,.497,.628,.415,.390,.392,.361,.431,.053,315,.238,836,.886,.302,.405,13,0
Milwaukee Bucks,.476,11.6,.715,.360,.170,.076,.109,.285,.519,.641,.399,.381,.398,.371,.534,.075,419,.288,986,.922,.281,.380,11,0
Minnesota Timberwolves,.467,12.4,.747,.303,.163,.099,.182,.253,.507,.637,.441,.398,.409,.350,.530,.059,340,.249,862,.877,.264,.388,9,0
New Orleans Pelicans,.448,13.3,.691,.275,.172,.094,.149,.309,.490,.619,.411,.430,.379,.353,.498,.046,277,.241,868,.837,.219,.374,11,0
New York Knicks,.448,13.2,.721,.287,.127,.133,.174,.279,.485,.591,.379,.440,.421,.354,.463,.039,233,.254,892,.849,.228,.435,21,0
Oklahoma City Thunder,.455,12.0,.706,.342,.148,.106,.109,.294,.508,.620,.421,.406,.375,.328,.465,.065,367,.280,990,.786,.258,.342,17,2
Orlando Magic,.441,13.4,.702,.264,.171,.111,.156,.298,.491,.624,.427,.424,.381,.323,.490,.042,246,.231,835,.871,.183,.289,23,0
Philadelphia 76ers,.442,13.1,.655,.307,.150,.094,.104,.345,.494,.639,.373,.384,.346,.345,.540,.047,270,.267,975,.864,.152,.403,8,0
Phoenix Suns,.448,12.5,.744,.306,.153,.120,.164,.256,.488,.627,.406,.398,.371,.334,.417,.056,322,.258,967,.797,.279,.335,19,0
Portland Trail Blazers,.461,13.3,.682,.298,.142,.093,.149,.318,.503,.596,.425,.449,.424,.373,.451,.047,272,.248,844,.791,.204,.383,15,0
Sacramento Kings,.459,13.0,.703,.258,.196,.096,.152,.297,.494,.638,.426,.403,.397,.374,.505,.049,267,.253,885,.877,.239,.411,17,0
San Antonio Spurs,.473,13.3,.720,.255,.161,.116,.190,.280,.505,.653,.434,.385,.436,.391,.527,.048,264,.216,783,.880,.272,.434,11,0
Toronto Raptors,.463,13.1,.714,.256,.185,.120,.153,.286,.503,.624,.453,.451,.402,.364,.368,.041,235,.236,824,.802,.272,.379,10,1
Utah Jazz,.463,13.0,.674,.295,.153,.104,.121,.326,.509,.647,.418,.430,.360,.366,.449,.068,369,.233,779,.792,.272,.372,13,1
Washington Wizards,.475,13.0,.718,.298,.138,.109,.174,.282,.515,.631,.437,.422,.437,.371,.501,.046,267,.260,980,.862,.256,.354,9,0
