team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Toronto Raptors,26.5,1,1,7.50,20.98,28.48,104.9,97.0,95.4,.267,.193,.508,.452,13.2,33.7,.233,.466,14.9,80.5,.202
Cleveland Cavaliers,29.6,3,0,12.67,10.41,23.08,108.2,95.2,97.3,.272,.398,.541,.506,12.6,25.0,.199,.443,16.5,69.0,.180
Detroit Pistons,25.7,2,1,7.67,11.21,18.88,104.2,96.1,95.0,.180,.228,.515,.487,12.7,25.4,.139,.431,10.1,75.6,.160
San Antonio Spurs,29.2,4,0,15.75,-0.92,14.83,114.8,98.2,94.7,.298,.246,.562,.509,11.2,27.9,.254,.464,12.9,83.7,.231
Chicago Bulls,27.8,2,0,11.50,1.24,12.74,118.4,106.2,94.1,.287,.258,.556,.511,10.7,34.8,.230,.540,12.3,86.6,.140
Atlanta Hawks,28.2,2,0,23.50,-11.39,12.11,107.1,84.0,101.8,.237,.266,.571,.546,14.7,24.1,.168,.422,17.1,83.2,.138
Charlotte Hornets,27.1,2,1,3.67,7.44,11.11,104.4,100.6,96.4,.312,.296,.511,.456,8.4,20.7,.250,.486,12.6,81.2,.151
Boston Celtics,26.5,2,1,1.67,8.76,10.43,111.0,109.3,97.6,.240,.350,.598,.577,13.9,16.2,.167,.479,10.8,73.1,.235
Miami Heat,25.7,1,2,-0.33,9.43,9.10,104.1,104.5,95.4,.236,.266,.513,.489,13.2,25.6,.156,.448,10.3,72.3,.244
Sacramento Kings,29.1,2,1,4.67,0.32,4.99,111.7,106.7,93.4,.369,.278,.559,.504,13.3,22.9,.290,.515,13.7,75.2,.281
Milwaukee Bucks,25.0,1,2,-8.00,10.81,2.81,99.1,107.3,97.2,.217,.206,.494,.455,10.4,20.0,.172,.489,13.1,72.9,.222
Los Angeles Clippers,29.6,2,0,10.50,-7.77,2.73,106.2,95.2,95.1,.379,.322,.497,.448,9.4,27.9,.264,.465,15.3,81.0,.215
Brooklyn Nets,27.3,2,1,0.67,1.76,2.43,107.9,107.2,101.4,.254,.418,.550,.507,14.4,26.4,.209,.505,13.2,74.6,.175
Orlando Magic,24.8,0,3,-14.67,17.02,2.35,96.3,111.6,95.9,.247,.266,.468,.434,12.2,27.7,.169,.507,9.8,71.9,.132
New York Knicks,27.5,0,2,-11.00,11.40,0.40,100.8,112.0,98.7,.362,.294,.527,.488,14.1,21.6,.245,.517,11.9,74.4,.194
Memphis Grizzlies,28.3,2,1,2.00,-2.28,-0.28,110.3,108.2,92.9,.311,.315,.551,.510,11.9,25.4,.232,.494,11.6,77.3,.270
Minnesota Timberwolves,24.0,1,1,-3.50,2.35,-1.15,110.2,114.1,91.2,.380,.253,.545,.503,11.9,30.8,.266,.515,12.2,72.8,.230
Portland Trail Blazers,25.2,2,1,1.00,-4.82,-3.82,108.1,107.2,99.5,.291,.267,.574,.529,12.9,15.6,.236,.462,10.9,74.5,.289
Denver Nuggets,25.3,1,1,1.50,-6.96,-5.46,98.7,97.3,106.0,.393,.257,.512,.448,16.4,28.1,.306,.471,11.4,90.2,.200
Washington Wizards,26.1,0,2,-12.00,5.92,-6.08,99.4,111.2,96.5,.239,.250,.508,.464,14.2,21.3,.194,.548,15.2,70.6,.188
Oklahoma City Thunder,25.3,2,1,8.67,-16.17,-7.50,101.9,93.9,104.0,.284,.242,.513,.470,14.0,26.6,.214,.462,14.5,83.7,.219
Golden State Warriors,28.4,1,2,-5.00,-2.67,-7.67,106.1,111.0,103.0,.305,.347,.558,.506,13.5,17.9,.255,.498,11.3,70.1,.194
Indiana Pacers,26.8,1,2,-5.67,-2.28,-7.94,105.6,111.1,99.1,.226,.219,.530,.498,12.0,21.0,.168,.529,12.4,74.8,.177
New Orleans Pelicans,25.7,1,2,-10.67,0.57,-10.10,94.8,105.1,103.7,.230,.227,.482,.442,10.5,15.5,.176,.504,14.3,80.0,.265
Utah Jazz,27.2,1,2,-5.00,-6.73,-11.73,100.2,105.7,91.5,.300,.296,.528,.480,15.0,21.3,.235,.492,13.8,76.0,.215
Phoenix Suns,25.6,1,2,-9.33,-3.40,-12.73,96.7,105.6,101.3,.322,.257,.510,.473,13.1,20.3,.218,.485,14.5,77.5,.283
Philadelphia 76ers,24.5,0,2,-19.00,2.30,-16.70,84.0,102.9,100.6,.244,.256,.465,.427,15.8,10.0,.177,.483,9.9,79.3,.190
Los Angeles Lakers,26.0,1,2,-6.00,-13.09,-19.09,101.6,107.6,100.1,.258,.346,.527,.485,16.0,25.2,.204,.512,14.3,72.6,.238
Houston Rockets,27.2,2,1,1.00,-21.03,-20.03,109.0,107.9,95.7,.335,.390,.578,.540,15.9,21.8,.246,.504,12.1,77.9,.217
