"team_name","age","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_fg","opp_fga","opp_fg_pct","opp_fg3","opp_fg3a","opp_fg3_pct","opp_fg2","opp_fg2a","opp_fg2_pct","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","opp_pts_per_g","fg","fga","fg_pct","fg3","fg3a","fg3_pct","fg2","fg2a","fg2_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","pts_per_g"
"Toronto Raptors",26.5,1,1,7.5,20.98,28.48,104.9,97,95.4,0.267,0.193,0.508,0.452,13.2,33.7,0.233,0.466,14.9,80.5,0.202,68,163,0.417,16,54,0.296,52,109,0.477,33,44,0.75,17,63,80,37,16,3,32,39,185,92.5,76,176,0.432,7,34,0.206,69,142,0.486,41,47,0.872,32,70,102,29,17,3,30,42,200,100
"Cleveland Cavaliers",29.6,3,0,12.67,10.41,23.08,108.2,95.2,97.3,0.272,0.398,0.541,0.506,12.6,25,0.199,0.443,16.5,69,0.18,105,261,0.402,21,71,0.296,84,190,0.442,47,64,0.734,44,99,143,50,21,14,57,65,278,92.7,114,261,0.437,36,104,0.346,78,157,0.497,52,71,0.732,33,98,131,68,28,14,42,64,316,105.3
"Detroit Pistons",25.7,2,1,7.67,11.21,18.88,104.2,96.1,95,0.18,0.228,0.515,0.487,12.7,25.4,0.139,0.431,10.1,75.6,0.16,108,268,0.403,15,61,0.246,93,207,0.449,43,55,0.782,38,97,135,59,26,7,33,51,274,91.3,122,267,0.457,16,61,0.262,106,206,0.515,37,48,0.771,33,118,151,67,24,8,42,49,297,99
"San Antonio Spurs",29.2,4,0,15.75,-0.92,14.83,114.8,98.2,94.7,0.298,0.246,0.562,0.509,11.2,27.9,0.254,0.464,12.9,83.7,0.231,137,321,0.427,24,95,0.253,113,226,0.5,74,97,0.763,27,129,156,79,31,17,54,83,372,93,155,342,0.453,38,84,0.452,117,258,0.453,87,102,0.853,50,139,189,89,33,23,49,86,435,108.8
"Chicago Bulls",27.8,2,0,11.5,1.24,12.74,118.4,106.2,94.1,0.287,0.258,0.556,0.511,10.7,34.8,0.23,0.54,12.3,86.6,0.14,81,164,0.494,15,41,0.366,66,123,0.537,23,33,0.697,11,58,69,56,14,13,25,41,200,100,81,178,0.455,20,46,0.435,61,132,0.462,41,51,0.804,31,71,102,59,13,7,24,35,223,111.5
"Atlanta Hawks",28.2,2,0,23.5,-11.39,12.11,107.1,84,101.8,0.237,0.266,0.571,0.546,14.7,24.1,0.168,0.422,17.1,83.2,0.138,68,174,0.391,11,38,0.289,57,136,0.419,24,33,0.727,16,63,79,41,23,9,39,40,171,85.5,86,173,0.497,17,46,0.37,69,127,0.543,29,41,0.707,20,79,99,59,24,14,33,33,218,109
"Charlotte Hornets",27.1,2,1,3.67,7.44,11.11,104.4,100.6,96.4,0.312,0.296,0.511,0.456,8.4,20.7,0.25,0.486,12.6,81.2,0.151,110,259,0.425,32,81,0.395,78,178,0.438,39,57,0.684,25,115,140,67,10,15,41,71,291,97,107,260,0.412,23,77,0.299,84,183,0.459,65,81,0.802,30,108,138,69,23,25,27,59,302,100.7
"Boston Celtics",26.5,2,1,1.67,8.76,10.43,111,109.3,97.6,0.24,0.35,0.598,0.577,13.9,16.2,0.167,0.479,10.8,73.1,0.235,111,268,0.414,35,101,0.347,76,167,0.455,63,83,0.759,39,98,137,69,21,10,37,57,320,106.7,125,246,0.508,34,86,0.395,91,160,0.569,41,59,0.695,19,106,125,83,23,21,44,71,325,108.3
"Miami Heat",25.7,1,2,-0.33,9.43,9.1,104.1,104.5,95.4,0.236,0.266,0.513,0.489,13.2,25.6,0.156,0.448,10.3,72.3,0.244,106,262,0.405,23,57,0.404,83,205,0.405,64,78,0.821,41,96,137,60,19,18,34,61,299,99.7,116,263,0.441,25,70,0.357,91,193,0.472,41,62,0.661,33,107,140,65,14,17,44,69,298,99.3
"Sacramento Kings",29.1,2,1,4.67,0.32,4.99,111.7,106.7,93.4,0.369,0.278,0.559,0.504,13.3,22.9,0.29,0.515,13.7,75.2,0.281,109,228,0.478,17,56,0.304,92,172,0.535,64,85,0.753,28,91,119,62,21,16,42,80,299,99.7,111,241,0.461,21,67,0.313,90,174,0.517,70,89,0.787,27,85,112,70,18,10,43,65,313,104.3
"Milwaukee Bucks",25,1,2,-8,10.81,2.81,99.1,107.3,97.2,0.217,0.206,0.494,0.455,10.4,20,0.172,0.489,13.1,72.9,0.222,116,261,0.444,23,78,0.295,93,183,0.508,58,72,0.806,38,116,154,73,25,20,44,58,313,104.3,114,267,0.427,15,55,0.273,99,212,0.467,46,58,0.793,29,102,131,70,28,14,34,62,289,96.3
"Los Angeles Clippers",29.6,2,0,10.5,-7.77,2.73,106.2,95.2,95.1,0.379,0.322,0.497,0.448,9.4,27.9,0.264,0.465,15.3,81,0.215,68,158,0.43,11,37,0.297,57,121,0.471,34,45,0.756,16,75,91,36,12,7,32,56,181,90.5,71,174,0.408,14,56,0.25,57,118,0.483,46,66,0.697,29,68,97,29,18,8,21,39,202,101
"Brooklyn Nets",27.3,2,1,0.67,1.76,2.43,107.9,107.2,101.4,0.254,0.418,0.55,0.507,14.4,26.4,0.209,0.505,13.2,74.6,0.175,126,275,0.458,26,78,0.333,100,197,0.508,48,62,0.774,35,106,141,83,34,20,46,66,326,108.7,118,268,0.44,36,112,0.321,82,156,0.526,56,68,0.824,38,103,141,65,26,13,50,64,328,109.3
"Orlando Magic",24.8,0,3,-14.67,17.02,2.35,96.3,111.6,95.9,0.247,0.266,0.468,0.434,12.2,27.7,0.169,0.507,9.8,71.9,0.132,131,280,0.468,22,72,0.306,109,208,0.524,37,52,0.712,38,107,145,71,21,17,33,60,321,107,105,267,0.393,22,71,0.31,83,196,0.423,45,66,0.682,41,97,138,61,19,12,41,51,277,92.3
"New York Knicks",27.5,0,2,-11,11.4,0.4,100.8,112,98.7,0.362,0.294,0.527,0.488,14.1,21.6,0.245,0.517,11.9,74.4,0.194,82,180,0.456,22,60,0.367,60,120,0.5,35,45,0.778,22,69,91,50,15,7,27,52,221,110.5,72,163,0.442,15,48,0.313,57,115,0.496,40,59,0.678,19,64,83,41,10,10,31,47,199,99.5
"Memphis Grizzlies",28.3,2,1,2,-2.28,-0.28,110.3,108.2,92.9,0.311,0.315,0.551,0.51,11.9,25.4,0.232,0.494,11.6,77.3,0.27,114,248,0.46,17,64,0.266,97,184,0.527,67,93,0.72,29,97,126,63,18,13,38,71,312,104,112,254,0.441,35,80,0.438,77,174,0.443,59,79,0.747,33,99,132,62,18,15,39,81,318,106
"Minnesota Timberwolves",24,1,1,-3.5,2.35,-1.15,110.2,114.1,91.2,0.38,0.253,0.545,0.503,11.9,30.8,0.266,0.515,12.2,72.8,0.23,75,165,0.455,20,50,0.4,55,115,0.478,38,52,0.731,22,54,76,43,12,16,26,49,208,104,73,158,0.462,13,40,0.325,60,118,0.508,42,60,0.7,24,59,83,39,11,10,25,48,201,100.5
"Portland Trail Blazers",25.2,2,1,1,-4.82,-3.82,108.1,107.2,99.5,0.291,0.267,0.574,0.529,12.9,15.6,0.236,0.462,10.9,74.5,0.289,115,273,0.421,22,76,0.289,93,197,0.472,79,101,0.782,37,103,140,50,29,14,39,65,331,110.3,123,258,0.477,27,69,0.391,96,189,0.508,61,75,0.813,19,108,127,63,19,15,43,82,334,111.3
"Denver Nuggets",25.3,1,1,1.5,-6.96,-5.46,98.7,97.3,106,0.393,0.257,0.512,0.448,16.4,28.1,0.306,0.471,11.4,90.2,0.2,83,190,0.437,13,51,0.255,70,139,0.504,38,47,0.809,10,69,79,54,26,13,27,59,217,108.5,75,183,0.41,14,47,0.298,61,136,0.449,56,72,0.778,27,92,119,37,17,7,42,43,220,110
"Washington Wizards",26.1,0,2,-12,5.92,-6.08,99.4,111.2,96.5,0.239,0.25,0.508,0.464,14.2,21.3,0.194,0.548,15.2,70.6,0.188,83,176,0.472,27,57,0.474,56,119,0.471,33,44,0.75,25,74,99,52,22,9,35,45,226,113,78,180,0.433,11,45,0.244,67,135,0.496,35,43,0.814,20,60,80,44,22,8,33,43,202,101
"Oklahoma City Thunder",25.3,2,1,8.67,-16.17,-7.5,101.9,93.9,104,0.284,0.242,0.513,0.47,14,26.6,0.214,0.462,14.5,83.7,0.219,113,265,0.426,19,84,0.226,94,181,0.519,58,81,0.716,23,105,128,56,31,15,51,69,303,101,124,285,0.435,20,69,0.29,104,216,0.481,61,81,0.753,38,118,156,61,33,12,52,69,329,109.7
"Golden State Warriors",28.4,1,2,-5,-2.67,-7.67,106.1,111,103,0.305,0.347,0.558,0.506,13.5,17.9,0.255,0.498,11.3,70.1,0.194,131,288,0.455,25,69,0.362,106,219,0.484,56,74,0.757,44,110,154,73,31,15,41,69,343,114.3,119,259,0.459,24,90,0.267,95,169,0.562,66,79,0.835,24,103,127,83,25,13,46,64,328,109.3
"Indiana Pacers",26.8,1,2,-5.67,-2.28,-7.94,105.6,111.1,99.1,0.226,0.219,0.53,0.498,12,21,0.168,0.529,12.4,74.8,0.177,128,277,0.462,37,102,0.363,91,175,0.52,49,59,0.831,35,113,148,80,22,18,43,64,342,114,127,279,0.455,24,61,0.393,103,218,0.472,47,63,0.746,30,104,134,86,26,19,42,61,325,108.3
"New Orleans Pelicans",25.7,1,2,-10.67,0.57,-10.1,94.8,105.1,103.7,0.23,0.227,0.482,0.442,10.5,15.5,0.176,0.504,14.3,80,0.265,116,257,0.451,27,76,0.355,89,181,0.492,68,84,0.81,26,131,157,71,21,11,49,59,327,109,117,278,0.421,12,63,0.19,105,215,0.488,49,64,0.766,24,104,128,74,30,16,36,72,295,98.3
"Utah Jazz",27.2,1,2,-5,-6.73,-11.73,100.2,105.7,91.5,0.3,0.296,0.528,0.48,15,21.3,0.235,0.492,13.8,76,0.215,105,242,0.434,28,69,0.406,77,173,0.445,52,63,0.825,30,96,126,55,19,14,43,61,290,96.7,100,230,0.435,21,68,0.309,79,162,0.488,54,69,0.783,26,95,121,51,21,15,46,59,275,91.7
