team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_03,opp_pct_fga_03_10,opp_pct_fga_10_16,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_03,opp_fg_pct_03_10,opp_fg_pct_10_16,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,5760,.447,13.6,.691,.271,.141,.113,.165,.309,.485,.571,.419,.409,.457,.361,.475,.044,84,.224,232,.816,.230,.430
Boston Celtics,5760,.441,13.4,.688,.282,.166,.100,.140,.312,.488,.603,.418,.409,.389,.339,.493,.039,72,.250,283,.828,.205,.354
Brooklyn Nets,5330,.471,13.4,.679,.290,.143,.095,.152,.321,.516,.609,.448,.417,.461,.375,.496,.053,95,.256,287,.815,.253,.409
Chicago Bulls,5520,.445,12.6,.720,.296,.174,.102,.149,.280,.478,.611,.395,.380,.377,.361,.523,.047,86,.272,299,.877,.254,.350
Charlotte Hornets,5835,.436,14.0,.654,.287,.112,.089,.167,.346,.487,.577,.439,.447,.387,.339,.509,.034,66,.252,291,.865,.217,.329
Cleveland Cavaliers,5280,.444,13.4,.686,.284,.150,.109,.142,.314,.486,.633,.333,.409,.419,.350,.512,.036,62,.247,285,.843,.204,.341
Dallas Mavericks,5570,.467,13.7,.673,.267,.145,.096,.164,.327,.496,.659,.392,.384,.386,.409,.507,.045,76,.227,248,.782,.248,.434
Denver Nuggets,5835,.460,13.1,.722,.278,.162,.113,.170,.278,.501,.628,.456,.437,.377,.352,.473,.047,95,.238,290,.855,.221,.392
Detroit Pistons,6240,.436,13.2,.711,.267,.174,.115,.155,.289,.478,.617,.393,.409,.387,.330,.510,.030,58,.241,307,.849,.232,.347
Golden State Warriors,6050,.431,13.5,.696,.272,.164,.097,.162,.304,.479,.626,.354,.404,.404,.323,.482,.043,87,.240,311,.828,.225,.351
Houston Rockets,5810,.453,13.4,.682,.279,.172,.087,.142,.318,.498,.673,.376,.400,.361,.356,.457,.044,85,.250,323,.855,.250,.402
Indiana Pacers,5860,.453,14.2,.650,.268,.137,.088,.156,.350,.513,.622,.470,.457,.397,.342,.491,.045,87,.255,296,.872,.257,.367
Los Angeles Clippers,5810,.439,13.4,.723,.253,.167,.134,.169,.277,.470,.648,.415,.366,.342,.356,.490,.042,78,.229,269,.828,.225,.320
Los Angeles Lakers,6240,.480,13.3,.678,.309,.133,.092,.145,.322,.539,.701,.427,.382,.393,.356,.555,.070,147,.250,359,.857,.212,.416
Memphis Grizzlies,6150,.431,13.8,.655,.282,.150,.084,.139,.345,.481,.610,.386,.400,.369,.338,.463,.040,71,.255,278,.813,.229,.365
Miami Heat,5785,.445,12.4,.744,.295,.167,.125,.158,.256,.478,.570,.423,.451,.384,.350,.455,.038,70,.259,274,.890,.285,.358
Milwaukee Bucks,5305,.431,13.7,.642,.298,.137,.091,.116,.358,.492,.627,.370,.384,.379,.322,.547,.044,73,.253,273,.889,.277,.374
Minnesota Timberwolves,5785,.473,13.1,.680,.304,.146,.088,.140,.320,.525,.662,.427,.416,.400,.363,.474,.058,108,.259,298,.838,.225,.401
New Orleans Pelicans,6150,.446,13.6,.668,.279,.160,.098,.130,.332,.496,.671,.355,.385,.375,.347,.521,.053,109,.240,333,.877,.232,.379
New York Knicks,5785,.447,12.6,.694,.323,.152,.084,.135,.306,.485,.592,.414,.382,.378,.360,.463,.051,92,.280,307,.811,.224,.440
Oklahoma City Thunder,5860,.442,12.1,.701,.324,.182,.096,.098,.299,.488,.626,.351,.385,.392,.334,.470,.053,97,.280,339,.854,.258,.354
Orlando Magic,6000,.449,12.6,.726,.311,.161,.109,.144,.274,.490,.610,.419,.380,.398,.339,.488,.059,99,.258,312,.844,.191,.357
Philadelphia 76ers,5860,.451,13.0,.704,.295,.158,.107,.145,.296,.497,.644,.371,.433,.381,.343,.470,.046,88,.259,317,.835,.184,.412
Phoenix Suns,5860,.460,13.4,.702,.283,.136,.127,.156,.298,.490,.618,.378,.432,.405,.390,.477,.037,73,.246,292,.843,.196,.467
Portland Trail Blazers,6075,.458,13.1,.706,.284,.170,.106,.146,.294,.494,.587,.464,.418,.398,.371,.428,.045,86,.245,284,.803,.188,.355
Sacramento Kings,5595,.452,14.2,.651,.243,.167,.086,.157,.349,.498,.635,.467,.407,.366,.367,.518,.046,76,.216,237,.842,.262,.424
San Antonio Spurs,5760,.448,13.1,.703,.281,.167,.100,.155,.297,.495,.602,.409,.452,.416,.339,.510,.050,86,.246,266,.828,.265,.329
Toronto Raptors,5545,.449,13.5,.654,.281,.168,.087,.118,.346,.500,.638,.389,.377,.420,.352,.494,.056,97,.256,266,.850,.228,.377
Utah Jazz,6000,.431,12.4,.730,.312,.166,.099,.152,.270,.456,.581,.336,.345,.402,.363,.414,.048,87,.267,292,.819,.190,.402
Washington Wizards,5355,.466,13.6,.679,.281,.148,.105,.146,.321,.506,.632,.423,.435,.401,.381,.502,.044,74,.252,268,.849,.203,.450
