team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.453,13.0,.693,.318,.124,.104,.148,.307,.511,.640,.339,.445,.418,.323,.550,.054,101,.269,309,.891,.251,.385,2,0
Boston Celtics,.448,14.0,.639,.294,.140,.069,.135,.361,.498,.617,.357,.406,.437,.358,.556,.028,56,.277,331,.854,.211,.475,7,0
Brooklyn Nets,.436,13.4,.607,.297,.181,.063,.067,.393,.506,.597,.460,.413,.313,.327,.422,.029,50,.297,319,.857,.220,.315,2,0
Chicago Bulls,.440,12.3,.772,.288,.178,.118,.190,.228,.479,.582,.506,.366,.368,.308,.485,.039,67,.266,291,.836,.231,.352,2,0
Charlotte Hornets,.440,13.5,.678,.297,.137,.091,.152,.322,.483,.610,.409,.374,.371,.349,.568,.029,57,.272,318,.801,.142,.372,5,0
Cleveland Cavaliers,.466,14.7,.600,.273,.113,.098,.117,.400,.509,.644,.333,.478,.385,.401,.441,.056,93,.223,237,.836,.276,.473,3,0
Dallas Mavericks,.415,15.1,.637,.209,.127,.114,.188,.363,.462,.611,.402,.412,.372,.330,.437,.038,61,.178,184,.838,.187,.364,3,0
Denver Nuggets,.438,12.3,.707,.333,.168,.085,.121,.293,.473,.566,.413,.359,.379,.353,.462,.044,82,.294,317,.872,.197,.410,5,0
Detroit Pistons,.451,12.6,.757,.253,.204,.137,.162,.243,.484,.636,.390,.439,.404,.347,.461,.044,94,.211,275,.847,.215,.398,10,0
Golden State Warriors,.498,14.4,.637,.288,.110,.108,.132,.363,.565,.722,.433,.415,.453,.379,.662,.068,140,.230,325,.860,.202,.396,11,0
Houston Rockets,.467,13.8,.568,.327,.142,.043,.055,.432,.535,.663,.357,.382,.372,.377,.542,.072,131,.277,347,.766,.202,.372,5,0
Indiana Pacers,.457,13.2,.742,.251,.185,.109,.197,.258,.489,.618,.470,.369,.406,.364,.492,.028,54,.247,302,.861,.227,.413,5,0
Los Angeles Clippers,.466,14.2,.680,.273,.116,.086,.204,.320,.508,.661,.321,.405,.450,.377,.501,.061,109,.228,272,.779,.227,.415,5,0
Los Angeles Lakers,.449,12.7,.715,.278,.192,.115,.128,.285,.490,.661,.351,.383,.430,.344,.457,.058,120,.226,304,.806,.212,.350,7,1
Memphis Grizzlies,.420,13.2,.702,.294,.158,.096,.154,.298,.458,.545,.444,.378,.350,.332,.484,.034,59,.273,292,.822,.220,.413,8,0
Miami Heat,.429,12.4,.711,.322,.172,.082,.135,.289,.468,.584,.369,.376,.371,.333,.433,.053,98,.272,292,.920,.301,.383,3,0
Milwaukee Bucks,.461,11.9,.706,.350,.174,.077,.105,.294,.506,.642,.372,.322,.415,.351,.517,.074,124,.275,290,.927,.269,.327,3,0
Minnesota Timberwolves,.452,12.6,.721,.311,.157,.091,.163,.279,.493,.607,.442,.375,.389,.346,.497,.057,108,.260,281,.826,.249,.371,1,0
New Orleans Pelicans,.438,13.4,.711,.263,.175,.104,.167,.289,.485,.609,.433,.414,.390,.323,.525,.039,78,.236,290,.847,.202,.339,5,0
New York Knicks,.448,13.4,.710,.286,.119,.136,.170,.290,.484,.607,.358,.431,.405,.359,.463,.037,73,.253,295,.860,.218,.444,10,0
Oklahoma City Thunder,.459,11.9,.705,.348,.145,.119,.094,.295,.514,.633,.399,.428,.359,.330,.473,.066,121,.283,347,.839,.304,.386,5,0
Orlando Magic,.424,13.6,.702,.256,.177,.100,.170,.298,.462,.604,.375,.438,.352,.333,.496,.034,64,.229,264,.895,.186,.316,8,0
Philadelphia 76ers,.434,14.0,.644,.269,.145,.106,.124,.356,.473,.646,.352,.355,.348,.362,.516,.032,58,.244,297,.865,.172,.379,4,0
Phoenix Suns,.443,12.9,.727,.297,.150,.117,.163,.273,.484,.608,.422,.394,.381,.334,.381,.046,85,.256,308,.831,.300,.320,7,0
Portland Trail Blazers,.453,13.9,.653,.273,.152,.093,.135,.347,.499,.602,.423,.433,.421,.367,.461,.038,77,.241,294,.806,.231,.375,5,0
Sacramento Kings,.442,12.7,.717,.286,.190,.087,.153,.283,.482,.646,.379,.379,.362,.342,.505,.056,96,.267,299,.872,.250,.328,6,0
San Antonio Spurs,.463,13.8,.724,.237,.161,.119,.209,.276,.487,.626,.392,.403,.448,.400,.531,.045,73,.205,233,.885,.269,.459,6,0
Toronto Raptors,.475,13.3,.714,.248,.178,.122,.166,.286,.508,.645,.439,.468,.404,.395,.404,.044,81,.223,247,.809,.291,.414,4,1
Utah Jazz,.464,13.5,.659,.291,.141,.102,.125,.341,.517,.650,.438,.460,.346,.362,.433,.061,108,.235,271,.793,.227,.349,5,0
Washington Wizards,.454,12.9,.749,.275,.160,.128,.186,.251,.485,.597,.438,.425,.402,.360,.479,.029,46,.260,285,.822,.253,.320,3,0
