team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Houston Rockets,40.4,86.8,14.6,40.0,25.8,46.8,19.3,25.3,.763,10.7,33.4,44.1,25.5,8.3,4.5,15.4,20.2,114.7
Golden State Warriors,43.7,87.3,12.3,31.5,31.5,55.8,18.6,23.5,.791,8.8,35.8,44.7,31.0,9.6,6.6,14.8,19.4,118.3
Denver Nuggets,40.7,88.1,10.4,28.0,30.3,60.1,19.0,25.0,.760,12.7,34.0,46.7,24.8,6.9,4.2,15.4,19.7,110.8
Toronto Raptors,39.5,85.1,9.2,24.7,30.3,60.3,20.3,25.3,.802,10.7,31.9,42.6,18.6,8.5,4.9,12.3,20.9,108.4
Boston Celtics,38.9,85.3,12.2,33.2,26.7,52.1,18.2,22.3,.816,9.0,32.1,41.1,25.0,7.4,4.2,12.7,20.4,108.2
Los Angeles Clippers,39.2,84.0,10.4,27.4,28.8,56.5,19.0,25.4,.748,9.3,34.1,43.4,22.4,7.8,4.6,13.2,20.3,107.8
Cleveland Cavaliers,39.9,85.5,13.2,33.7,26.7,51.8,18.6,24.6,.754,9.9,34.1,44.1,22.5,7.2,4.1,13.9,17.9,111.5
Phoenix Suns,39.4,87.9,8.0,23.3,31.4,64.6,20.5,26.0,.787,12.0,32.6,44.6,18.8,8.3,4.5,15.7,24.8,107.2
Los Angeles Lakers,38.6,87.1,9.3,26.5,29.3,60.5,17.8,23.3,.763,11.6,32.4,44.0,20.6,7.9,3.9,15.2,20.8,104.3
New York Knicks,40.2,89.8,9.2,25.6,30.9,64.1,16.4,21.2,.777,12.4,33.7,46.0,21.9,7.2,5.9,14.2,20.8,106.0
Oklahoma City Thunder,39.3,87.3,8.4,26.0,30.9,61.3,19.1,25.6,.744,11.9,34.6,46.4,21.1,7.8,5.3,15.1,20.5,106.0
Portland Trail Blazers,39.4,86.7,10.2,28.3,29.1,58.4,18.4,23.5,.783,10.1,33.2,43.3,21.7,6.9,4.9,13.9,21.9,107.4
Indiana Pacers,39.3,84.4,8.4,22.6,31.0,61.8,18.4,22.6,.813,8.4,33.0,41.4,22.6,8.3,5.2,13.9,19.4,105.4
San Antonio Spurs,39.5,83.2,9.0,22.6,30.5,60.6,18.7,23.1,.809,9.7,34.2,43.9,23.8,8.1,5.8,13.3,18.5,106.7
Minnesota Timberwolves,39.1,83.9,7.7,22.0,31.3,61.9,18.8,23.9,.790,11.3,31.2,42.5,23.4,7.8,4.5,14.2,20.2,104.7
Washington Wizards,41.2,86.5,8.9,23.9,32.3,62.6,16.8,21.4,.782,10.2,32.9,43.1,23.6,8.4,4.2,14.4,21.3,108.1
Brooklyn Nets,37.9,85.5,11.0,32.3,26.9,53.2,18.7,23.7,.789,8.8,35.0,43.8,21.4,7.0,4.7,17.0,21.0,105.5
New Orleans Pelicans,38.7,86.8,9.4,26.6,29.3,60.2,16.6,22.3,.746,8.6,35.3,43.9,22.6,7.7,6.0,13.1,18.7,103.3
Sacramento Kings,37.5,82.1,9.2,25.2,28.3,56.9,18.9,24.3,.779,9.1,32.1,41.2,22.7,8.2,4.0,14.6,20.7,103.2
Charlotte Hornets,37.5,85.7,9.8,27.9,27.8,57.8,19.7,24.3,.808,8.9,36.1,44.9,23.2,6.6,5.1,12.1,17.0,104.5
Chicago Bulls,38.2,86.6,6.5,20.4,31.7,66.2,19.7,24.6,.799,12.8,33.7,46.5,21.4,7.8,5.0,13.4,17.6,102.6
Memphis Grizzlies,36.2,83.9,9.2,26.0,27.1,57.9,19.1,24.4,.785,10.9,32.4,43.3,20.8,8.4,4.6,13.0,23.4,100.7
Milwaukee Bucks,39.5,82.7,8.5,22.9,31.0,59.8,18.1,23.8,.760,9.2,32.2,41.4,24.5,8.4,5.5,14.1,20.4,105.5
Atlanta Hawks,38.5,84.8,8.9,26.0,29.6,58.8,17.7,24.4,.728,10.1,33.9,44.0,23.8,8.3,5.0,15.3,17.8,103.5
Miami Heat,38.7,85.7,9.4,26.1,29.3,59.6,14.8,21.3,.694,10.4,33.6,44.0,21.3,6.9,5.5,13.6,20.8,101.6
Detroit Pistons,39.8,87.5,7.8,23.0,32.0,64.5,14.2,19.1,.742,10.3,34.5,44.8,21.2,7.0,3.8,12.2,18.0,101.5
Orlando Magic,37.9,86.1,8.5,25.6,29.4,60.4,15.3,21.2,.724,9.7,32.9,42.7,22.0,6.8,5.1,13.5,18.9,99.6
Utah Jazz,36.5,78.6,9.5,26.1,27.0,52.5,17.8,23.6,.758,9.1,33.9,43.0,19.6,6.8,4.8,13.6,19.1,100.4
Philadelphia 76ers,37.2,84.6,10.3,29.4,26.9,55.2,16.9,22.2,.760,9.5,33.2,42.7,23.6,8.5,5.5,16.8,21.6,101.5
Dallas Mavericks,36.4,82.4,10.7,30.1,25.6,52.3,14.4,18.0,.802,7.9,30.3,38.2,20.2,7.8,3.8,11.7,19.3,97.8
