team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.0,48,9,47,10,12.77,-0.30,12.47,116.7,104.1,100.6,.269,.361,.606,.572,13.2,21.7,.213,.488,13.3,75.8,.202
San Antonio Spurs,29.6,44,13,43,14,8.35,-0.51,7.84,112.4,103.6,94.6,.278,.271,.571,.528,12.4,23.6,.225,.492,13.5,78.2,.202
Houston Rockets,27.4,41,18,41,18,6.85,-0.30,6.55,114.7,107.8,99.3,.291,.460,.586,.549,13.6,24.5,.222,.516,13.6,76.4,.200
Cleveland Cavaliers,29.0,40,16,38,18,5.55,-0.52,5.04,114.3,108.6,96.8,.288,.394,.579,.543,12.6,23.3,.217,.512,12.2,75.4,.170
Utah Jazz,26.7,36,22,38,20,4.71,-0.31,4.40,109.4,104.3,91.4,.300,.332,.564,.525,13.2,22.5,.227,.488,12.0,78.7,.193
Toronto Raptors,26.1,34,24,37,21,4.24,-0.27,3.97,113.4,109.0,95.1,.298,.291,.564,.518,11.3,24.8,.239,.514,13.9,75.5,.227
Los Angeles Clippers,30.0,35,23,35,23,3.36,0.23,3.59,111.4,107.9,96.4,.303,.327,.567,.529,12.1,22.0,.226,.501,12.2,76.4,.217
Boston Celtics,25.9,37,21,34,24,2.53,-0.04,2.49,112.0,109.4,96.1,.262,.389,.569,.528,11.8,21.0,.214,.507,12.7,74.7,.225
Memphis Grizzlies,29.3,34,25,32,27,1.10,0.55,1.66,106.9,105.7,92.9,.290,.310,.532,.486,12.1,24.8,.228,.498,13.9,77.9,.267
Washington Wizards,25.9,34,22,33,23,2.61,-0.95,1.66,110.5,107.8,97.0,.247,.277,.563,.528,13.0,24.2,.194,.515,14.0,75.5,.212
Oklahoma City Thunder,24.5,33,25,29,29,0.19,0.48,0.67,107.3,107.1,98.1,.294,.298,.537,.498,13.3,27.1,.219,.508,12.5,78.1,.209
Charlotte Hornets,26.7,24,33,29,28,0.14,0.08,0.22,107.2,107.1,96.8,.284,.326,.542,.495,11.1,19.8,.229,.511,11.7,79.8,.163
Detroit Pistons,25.4,28,30,28,30,-0.33,0.11,-0.22,106.5,106.8,94.8,.218,.263,.529,.499,11.3,23.2,.162,.511,12.1,80.9,.205
Milwaukee Bucks,25.5,25,31,28,28,0.02,-0.36,-0.35,109.9,109.9,95.5,.287,.277,.566,.529,13.2,22.4,.218,.517,13.5,75.1,.223
Minnesota Timberwolves,23.8,23,35,28,30,-0.66,0.07,-0.58,110.1,110.8,94.5,.284,.262,.554,.511,13.1,26.7,.225,.529,13.3,76.4,.212
Miami Heat,26.4,26,32,28,30,-0.67,-0.18,-0.86,105.9,106.6,95.4,.249,.304,.534,.506,12.5,23.5,.173,.496,12.2,76.7,.216
Denver Nuggets,25.3,26,32,27,31,-1.07,0.20,-0.87,112.1,113.2,98.3,.283,.318,.559,.521,13.4,29.0,.215,.535,10.9,79.1,.202
Chicago Bulls,27.4,29,29,28,30,-0.53,-0.40,-0.93,107.5,108.1,94.9,.284,.236,.526,.479,12.1,28.3,.227,.514,12.3,77.0,.166
Atlanta Hawks,28.1,32,25,27,30,-0.77,-0.52,-1.29,105.3,106.0,97.1,.287,.307,.542,.506,13.8,23.2,.209,.508,13.7,75.7,.174
Indiana Pacers,27.0,30,28,28,30,-0.72,-0.72,-1.44,108.1,108.8,96.7,.268,.268,.559,.516,12.8,19.8,.218,.511,13.5,75.0,.222
Dallas Mavericks,27.9,22,35,24,33,-2.47,0.63,-1.85,106.0,108.6,91.7,.218,.365,.542,.506,11.5,18.3,.175,.530,14.7,77.3,.222
Sacramento Kings,28.8,25,33,24,34,-2.40,0.53,-1.87,107.9,110.4,94.6,.296,.307,.556,.513,13.6,21.9,.231,.531,13.7,77.0,.235
Portland Trail Blazers,25.1,24,33,24,33,-2.60,0.65,-1.94,109.1,111.7,97.2,.271,.326,.553,.513,12.5,22.6,.212,.511,11.7,76.5,.256
New Orleans Pelicans,25.5,23,35,22,36,-3.60,0.32,-3.29,104.0,107.6,98.1,.257,.306,.535,.500,12.0,18.5,.191,.507,12.2,77.2,.182
New York Knicks,27.5,23,35,23,35,-3.33,-0.06,-3.39,108.3,111.7,96.7,.236,.285,.535,.499,12.5,27.1,.183,.510,11.5,74.2,.217
Phoenix Suns,25.8,18,40,19,39,-5.48,0.70,-4.78,106.6,112.1,99.4,.296,.265,.540,.493,13.6,26.4,.233,.529,13.6,76.8,.264
Philadelphia 76ers,24.9,22,35,19,38,-5.37,-0.08,-5.45,102.5,107.9,98.4,.262,.347,.538,.500,15.1,21.6,.199,.511,13.7,75.7,.229
Los Angeles Lakers,25.8,19,40,18,41,-6.46,0.36,-6.09,106.0,112.6,98.4,.267,.305,.536,.497,13.5,25.2,.204,.536,12.7,75.6,.210
Orlando Magic,25.6,21,38,17,42,-6.63,0.12,-6.51,102.9,109.8,96.2,.246,.298,.522,.489,12.4,21.6,.178,.520,12.2,77.0,.200
Brooklyn Nets,26.3,9,48,14,43,-8.95,0.52,-8.43,103.4,112.1,101.5,.277,.378,.550,.507,15.1,19.4,.219,.519,11.3,75.7,.208
