team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_03,opp_pct_fga_03_10,opp_pct_fga_10_16,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_03,opp_fg_pct_03_10,opp_fg_pct_10_16,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,13855,.447,14.0,.661,.262,.133,.109,.157,.339,.493,.589,.433,.415,.435,.359,.483,.043,187,.224,578,.834,.241,.410
Boston Celtics,13995,.453,13.6,.685,.276,.162,.095,.151,.315,.504,.620,.425,.416,.430,.341,.505,.044,198,.240,658,.851,.220,.362
Brooklyn Nets,13755,.463,13.2,.699,.288,.156,.104,.153,.301,.505,.620,.428,.392,.444,.366,.470,.051,245,.255,716,.786,.225,.376
Chicago Bulls,13995,.461,12.8,.713,.306,.157,.099,.151,.287,.501,.618,.408,.411,.418,.363,.532,.051,234,.277,746,.850,.241,.403
Charlotte Hornets,13780,.447,14.1,.643,.292,.114,.092,.146,.357,.496,.581,.425,.437,.416,.359,.503,.035,158,.260,709,.863,.223,.383
Cleveland Cavaliers,13540,.455,13.3,.681,.290,.149,.106,.136,.319,.498,.625,.386,.419,.413,.362,.527,.045,198,.250,706,.829,.245,.370
Dallas Mavericks,13780,.468,13.7,.684,.261,.146,.110,.168,.316,.505,.665,.422,.413,.386,.388,.479,.044,175,.219,592,.784,.250,.422
Denver Nuggets,13995,.480,13.2,.711,.289,.147,.106,.170,.289,.523,.641,.479,.448,.408,.375,.503,.052,242,.246,714,.836,.219,.442
Detroit Pistons,13995,.458,13.3,.705,.261,.170,.117,.157,.295,.500,.646,.389,.448,.416,.358,.530,.036,158,.228,662,.854,.226,.368
Golden State Warriors,13780,.436,13.5,.682,.282,.157,.098,.145,.318,.487,.624,.379,.382,.406,.327,.500,.049,229,.242,702,.828,.206,.368
Houston Rockets,14260,.460,13.4,.679,.287,.167,.084,.141,.321,.513,.691,.408,.368,.365,.349,.497,.047,234,.257,840,.822,.237,.384
Indiana Pacers,14045,.451,14.2,.657,.259,.146,.097,.155,.343,.499,.629,.429,.434,.389,.358,.489,.048,212,.244,659,.879,.261,.394
Los Angeles Clippers,13970,.449,13.6,.698,.263,.154,.123,.159,.302,.492,.647,.434,.399,.365,.348,.517,.050,227,.228,644,.828,.222,.379
Los Angeles Lakers,14160,.480,13.3,.684,.298,.149,.092,.145,.316,.534,.681,.434,.398,.417,.363,.531,.066,300,.242,746,.853,.211,.392
Memphis Grizzlies,14360,.436,14.0,.646,.276,.148,.086,.136,.354,.487,.617,.412,.378,.373,.343,.476,.042,173,.248,632,.826,.239,.390
Miami Heat,13995,.449,12.6,.724,.301,.163,.116,.143,.276,.488,.581,.438,.453,.378,.347,.453,.042,186,.265,668,.840,.243,.375
Milwaukee Bucks,13515,.453,13.3,.648,.314,.138,.088,.108,.352,.502,.621,.420,.367,.369,.363,.546,.053,220,.265,687,.869,.309,.402
Minnesota Timberwolves,13995,.472,13.1,.678,.313,.137,.091,.137,.322,.523,.651,.430,.415,.397,.363,.483,.059,265,.263,715,.862,.215,.417
New Orleans Pelicans,14095,.448,13.6,.663,.285,.156,.094,.129,.337,.498,.649,.376,.377,.396,.350,.499,.052,252,.244,737,.835,.225,.364
New York Knicks,14095,.455,12.7,.684,.328,.144,.084,.127,.316,.502,.600,.422,.396,.410,.353,.471,.054,246,.282,782,.841,.230,.409
Oklahoma City Thunder,14020,.459,12.1,.713,.327,.174,.099,.113,.287,.499,.622,.388,.415,.388,.359,.462,.053,228,.280,783,.838,.229,.385
Orlando Magic,14235,.464,13.0,.696,.310,.148,.101,.138,.304,.507,.629,.445,.376,.396,.366,.492,.061,262,.255,739,.840,.219,.405
Philadelphia 76ers,13780,.458,13.0,.704,.296,.156,.106,.147,.296,.496,.632,.379,.436,.391,.367,.487,.049,221,.254,688,.829,.215,.421
Phoenix Suns,14070,.471,13.2,.700,.296,.143,.107,.153,.300,.507,.644,.381,.436,.411,.388,.467,.050,220,.256,723,.819,.212,.461
Portland Trail Blazers,13855,.453,13.3,.694,.276,.163,.106,.150,.306,.485,.570,.444,.440,.404,.380,.444,.041,174,.238,599,.811,.199,.346
Sacramento Kings,14070,.463,14.3,.634,.239,.173,.080,.143,.366,.515,.660,.439,.434,.407,.373,.518,.052,223,.216,597,.835,.241,.428
San Antonio Spurs,13730,.442,12.9,.707,.291,.166,.101,.148,.293,.484,.601,.367,.420,.428,.341,.497,.050,212,.255,637,.841,.241,.334
Toronto Raptors,13995,.454,13.4,.669,.274,.179,.092,.124,.331,.500,.653,.393,.394,.397,.361,.493,.053,233,.249,654,.834,.239,.358
Utah Jazz,13970,.439,12.8,.721,.293,.167,.110,.151,.279,.471,.597,.377,.363,.405,.357,.408,.048,195,.246,616,.778,.191,.390
Washington Wizards,13565,.457,13.6,.677,.287,.146,.099,.145,.323,.507,.628,.404,.455,.409,.353,.503,.048,207,.246,648,.833,.219,.385
