team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,34,7,12.61,-0.52,12.09,116.1,103.6,100.7,.270,.353,.602,.567,13.4,22.1,.214,.484,13.0,75.9,.202
San Antonio Spurs,29.8,31,10,8.71,-0.18,8.52,113.8,104.5,93.9,.276,.273,.580,.538,12.4,23.3,.226,.496,13.4,77.8,.202
Toronto Raptors,26.1,29,12,6.85,0.02,6.87,116.1,108.9,95.6,.303,.284,.574,.528,11.0,25.6,.246,.514,14.2,74.3,.216
Houston Rockets,27.4,31,13,6.95,-0.27,6.69,115.2,108.2,98.8,.284,.460,.587,.553,13.7,25.2,.215,.515,13.2,76.4,.201
Los Angeles Clippers,30.1,30,13,6.16,-0.75,5.41,111.8,105.4,96.4,.306,.325,.569,.530,12.3,22.1,.231,.492,12.6,77.0,.217
Cleveland Cavaliers,29.0,26,14,4.85,-0.04,4.81,112.4,107.4,96.6,.297,.388,.565,.526,12.6,23.9,.227,.511,12.7,75.4,.169
Utah Jazz,26.5,28,15,4.26,-0.22,4.04,108.8,104.1,91.2,.294,.337,.565,.528,13.5,22.0,.220,.480,11.6,77.4,.188
Boston Celtics,26.0,24,17,2.46,-0.14,2.33,111.4,108.9,95.7,.246,.379,.562,.524,11.7,21.5,.199,.503,12.8,73.9,.220
Oklahoma City Thunder,24.5,23,20,1.26,-0.02,1.24,108.2,106.9,97.5,.298,.302,.546,.507,13.3,26.3,.221,.505,12.6,77.5,.208
Milwaukee Bucks,25.6,22,18,1.55,-0.47,1.09,109.9,108.3,95.2,.269,.277,.564,.528,12.9,22.7,.205,.508,13.2,75.5,.210
Memphis Grizzlies,28.8,22,21,0.49,0.56,1.05,105.0,104.5,93.0,.277,.307,.525,.480,12.1,23.9,.216,.496,14.1,78.6,.269
Charlotte Hornets,26.7,22,19,0.95,-0.49,0.46,108.0,107.0,96.5,.297,.313,.541,.495,11.0,21.0,.234,.509,11.5,79.3,.164
Atlanta Hawks,28.2,21,20,0.37,-0.61,-0.24,105.5,105.1,97.1,.271,.305,.542,.509,14.0,24.4,.195,.507,14.1,76.2,.172
Washington Wizards,26.0,20,20,0.20,-0.51,-0.31,108.6,108.4,96.7,.240,.265,.555,.520,13.2,24.0,.187,.525,14.4,76.2,.209
Chicago Bulls,27.6,22,22,0.00,-0.64,-0.64,107.1,107.1,94.4,.280,.233,.519,.471,12.1,29.5,.224,.507,12.2,76.4,.165
Minnesota Timberwolves,23.7,19,23,-1.24,0.38,-0.86,108.8,110.1,94.3,.285,.272,.549,.505,13.7,27.5,.225,.526,13.3,77.4,.222
Detroit Pistons,25.5,20,23,-1.26,0.34,-0.92,105.5,106.8,94.2,.216,.263,.525,.495,11.2,22.1,.160,.513,12.3,80.4,.200
Denver Nuggets,25.2,18,22,-1.78,0.08,-1.69,110.8,112.6,98.3,.289,.309,.555,.517,13.6,28.3,.218,.526,10.8,78.7,.212
Portland Trail Blazers,25.1,18,25,-2.72,0.81,-1.91,109.6,112.4,97.3,.275,.333,.558,.518,12.4,21.8,.215,.514,11.8,75.9,.254
Indiana Pacers,27.1,19,21,-1.00,-1.25,-2.25,107.1,108.1,97.8,.264,.265,.553,.509,12.8,19.9,.216,.508,13.5,74.7,.210
Sacramento Kings,29.0,16,24,-2.75,0.46,-2.29,107.7,110.6,94.7,.298,.301,.551,.506,13.3,22.2,.233,.529,13.8,75.8,.233
New Orleans Pelicans,25.6,17,25,-2.81,0.34,-2.47,103.0,105.9,97.7,.258,.299,.528,.491,11.7,18.1,.194,.499,12.0,77.2,.170
New York Knicks,27.6,17,25,-3.12,-0.09,-3.21,107.6,110.8,97.0,.237,.284,.534,.497,12.7,26.8,.185,.507,11.8,74.5,.226
Miami Heat,26.2,15,27,-4.24,0.68,-3.56,103.0,107.4,95.0,.246,.298,.517,.489,12.2,23.4,.167,.497,12.1,76.4,.209
Dallas Mavericks,27.9,14,27,-4.71,1.05,-3.66,104.2,109.4,91.4,.215,.368,.534,.499,12.1,18.9,.171,.536,14.9,77.7,.228
Phoenix Suns,25.8,13,28,-5.76,0.95,-4.81,105.2,110.9,99.4,.284,.267,.536,.493,13.9,26.4,.219,.526,13.9,77.1,.257
Los Angeles Lakers,25.9,15,31,-5.85,0.66,-5.19,106.8,112.8,98.0,.276,.299,.538,.498,13.4,25.5,.210,.539,12.6,75.5,.205
Orlando Magic,25.6,15,28,-4.88,-0.44,-5.32,103.7,108.7,95.7,.234,.304,.523,.492,12.0,21.9,.168,.513,12.1,76.7,.193
Philadelphia 76ers,25.0,12,27,-5.87,-0.54,-6.42,101.4,107.4,97.0,.247,.356,.531,.496,15.2,22.4,.186,.504,13.0,75.7,.218
Brooklyn Nets,26.4,9,32,-9.63,0.82,-8.82,102.8,112.2,101.9,.278,.384,.546,.504,15.0,19.8,.217,.522,11.6,75.5,.205
