Visitor,Home,Prediction,Result,Prediction_Outcome
Washington Wizards,Atlanta Hawks,,,
Orlando Magic,Boston Celtics,,,
Miami Heat,Chicago Bulls,,,
Brooklyn Nets,Cleveland Cavaliers,,,
Sacramento Kings,Indiana Pacers,,,
San Antonio Spurs,New Orleans Pelicans,,,
Charlotte Hornets,New York Knicks,,,
Houston Rockets,Philadelphia 76ers,,,
Memphis Grizzlies,Portland Trail Blazers,,,
Milwaukee Bucks,Toronto Raptors,,,
Washington Wizards,Atlanta Hawks,,,
Orlando Magic,Boston Celtics,,,
Miami Heat,Chicago Bulls,,,
Brooklyn Nets,Cleveland Cavaliers,,,
Sacramento Kings,Indiana Pacers,,,
San Antonio Spurs,New Orleans Pelicans,,,
Charlotte Hornets,New York Knicks,,,
Houston Rockets,Philadelphia 76ers,,,
Memphis Grizzlies,Portland Trail Blazers,,,
Milwaukee Bucks,Toronto Raptors,,,
