team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.3902439024390244,0.43902439024390244,0.34146341463414637,0.3,-2
Los Angeles Lakers,0.19753086419753085,0.275,0.12195121951219512,0.1,-6
Memphis Grizzlies,0.5185185185185185,0.6341463414634146,0.4,0.1,-3
Philadelphia 76ers,0.12345679012345678,0.17073170731707318,0.075,0.1,-3
San Antonio Spurs,0.8148148148148148,0.975609756097561,0.65,0.6,1
Houston Rockets,0.49382716049382713,0.55,0.43902439024390244,0.5,2
Detroit Pistons,0.5308641975308642,0.6341463414634146,0.425,0.6,-1
Boston Celtics,0.5802469135802469,0.675,0.4878048780487805,0.6,-2
Miami Heat,0.5925925925925926,0.6829268292682927,0.5,0.7,2
Orlando Magic,0.43209876543209874,0.5609756097560976,0.3,0.6,1
Portland Trail Blazers,0.5308641975308642,0.675,0.3902439024390244,0.7,-1
Golden State Warriors,0.8888888888888888,0.95,0.8292682926829268,0.8,3
Chicago Bulls,0.5061728395061729,0.625,0.3902439024390244,0.5,2
Washington Wizards,0.49382716049382713,0.525,0.4634146341463415,0.5,2
Dallas Mavericks,0.5185185185185185,0.575,0.4634146341463415,0.7,1
Minnesota Timberwolves,0.345679012345679,0.325,0.36585365853658536,0.5,-1
Oklahoma City Thunder,0.6707317073170732,0.7804878048780488,0.5609756097560976,0.5,-1
Charlotte Hornets,0.5802469135802469,0.725,0.43902439024390244,0.6,1
Milwaukee Bucks,0.4074074074074074,0.575,0.24390243902439024,0.3,-1
Los Angeles Clippers,0.654320987654321,0.7073170731707317,0.6,0.9,6
Toronto Raptors,0.6790123456790124,0.7804878048780488,0.575,0.7,3
Utah Jazz,0.49382716049382713,0.5853658536585366,0.4,0.5,-1
Phoenix Suns,0.2716049382716049,0.325,0.21951219512195122,0.2,-1
Sacramento Kings,0.4074074074074074,0.43902439024390244,0.375,0.6,2
New Orleans Pelicans,0.37037037037037035,0.5121951219512195,0.225,0.4,-2
Cleveland Cavaliers,0.7037037037037037,0.825,0.5853658536585366,0.6,1
Atlanta Hawks,0.5925925925925926,0.6585365853658537,0.525,0.7,-1
Brooklyn Nets,0.25925925925925924,0.35,0.17073170731707318,0.1,-9
Indiana Pacers,0.5432098765432098,0.6341463414634146,0.45,0.6,2
Denver Nuggets,0.4074074074074074,0.43902439024390244,0.375,0.4,-1
