team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_03,opp_pct_fga_03_10,opp_pct_fga_10_16,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_03,opp_fg_pct_03_10,opp_fg_pct_10_16,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,9890,.449,13.7,.675,.266,.140,.115,.155,.325,.493,.590,.423,.405,.454,.357,.482,.043,137,.226,421,.825,.230,.411
Boston Celtics,9865,.449,13.6,.686,.273,.166,.098,.149,.314,.495,.610,.429,.411,.410,.348,.509,.040,130,.242,466,.853,.210,.387
Brooklyn Nets,9650,.464,13.4,.685,.285,.150,.101,.150,.315,.510,.622,.426,.410,.448,.362,.476,.052,180,.254,513,.780,.235,.368
Chicago Bulls,10105,.457,12.6,.725,.311,.160,.100,.154,.275,.495,.606,.400,.410,.425,.357,.539,.049,166,.281,550,.854,.247,.390
Charlotte Hornets,9915,.447,14.1,.651,.286,.117,.094,.155,.349,.496,.575,.442,.453,.414,.356,.513,.031,99,.259,512,.873,.223,.377
Cleveland Cavaliers,9625,.453,13.3,.676,.293,.151,.102,.128,.324,.498,.639,.361,.411,.412,.359,.526,.045,135,.251,517,.840,.237,.377
Dallas Mavericks,9650,.472,13.6,.678,.270,.145,.102,.161,.322,.505,.663,.414,.419,.378,.403,.494,.044,126,.226,429,.795,.254,.425
Denver Nuggets,9435,.473,13.3,.708,.278,.151,.111,.169,.292,.514,.640,.465,.443,.396,.372,.492,.048,153,.237,475,.841,.202,.423
Detroit Pistons,10370,.458,13.5,.703,.260,.162,.118,.163,.297,.495,.635,.391,.438,.415,.371,.543,.035,110,.228,481,.851,.222,.372
Golden State Warriors,9915,.432,13.7,.680,.268,.159,.103,.149,.320,.485,.628,.370,.406,.404,.321,.474,.043,145,.236,501,.828,.207,.352
Houston Rockets,10395,.457,13.4,.679,.279,.172,.085,.142,.321,.502,.684,.394,.355,.364,.362,.465,.044,158,.250,593,.812,.237,.381
Indiana Pacers,9700,.449,14.1,.656,.264,.144,.094,.154,.344,.504,.620,.450,.448,.390,.344,.484,.045,145,.249,482,.879,.258,.366
Los Angeles Clippers,10370,.441,13.6,.706,.256,.156,.127,.168,.294,.481,.643,.427,.387,.358,.344,.493,.047,159,.225,475,.841,.226,.354
Los Angeles Lakers,10800,.479,13.3,.679,.293,.148,.094,.144,.321,.534,.695,.433,.388,.402,.362,.533,.064,228,.242,593,.858,.216,.387
Memphis Grizzlies,10520,.435,14.0,.645,.275,.153,.084,.134,.355,.487,.614,.411,.378,.380,.341,.469,.041,128,.251,469,.831,.221,.408
Miami Heat,9915,.450,12.7,.727,.292,.165,.119,.152,.273,.485,.581,.438,.453,.377,.357,.456,.041,131,.257,471,.853,.252,.363
Milwaukee Bucks,9650,.446,13.4,.654,.307,.133,.096,.118,.346,.493,.619,.399,.355,.385,.356,.551,.047,144,.260,499,.894,.293,.405
Minnesota Timberwolves,9890,.467,13.1,.674,.314,.138,.092,.130,.326,.520,.647,.419,.405,.404,.358,.478,.057,182,.266,513,.867,.219,.402
New Orleans Pelicans,10230,.441,13.7,.666,.278,.157,.099,.132,.334,.487,.641,.370,.376,.383,.348,.506,.048,170,.243,527,.863,.221,.388
New York Knicks,10155,.451,12.8,.687,.319,.150,.087,.131,.313,.494,.598,.415,.416,.385,.356,.482,.051,166,.277,548,.844,.223,.434
Oklahoma City Thunder,10420,.454,12.1,.709,.326,.181,.092,.110,.291,.496,.621,.394,.388,.386,.351,.467,.052,169,.280,594,.844,.228,.368
Orlando Magic,10370,.462,12.8,.710,.313,.153,.105,.139,.290,.508,.623,.446,.396,.401,.350,.488,.061,188,.259,545,.832,.194,.404
Philadelphia 76ers,9460,.451,13.1,.702,.290,.157,.109,.146,.298,.491,.628,.370,.437,.387,.358,.477,.047,143,.253,483,.849,.212,.434
Phoenix Suns,9965,.468,13.3,.701,.292,.140,.115,.153,.299,.504,.642,.371,.440,.412,.385,.464,.044,141,.256,524,.821,.210,.455
Portland Trail Blazers,10445,.457,13.3,.699,.274,.167,.102,.156,.301,.489,.579,.445,.433,.414,.381,.435,.042,138,.236,456,.817,.207,.371
Sacramento Kings,9675,.461,14.2,.643,.242,.172,.080,.149,.357,.507,.651,.441,.411,.400,.379,.514,.049,143,.215,414,.844,.241,.443
San Antonio Spurs,9625,.445,13.1,.707,.291,.156,.100,.160,.293,.489,.608,.377,.416,.426,.341,.503,.049,146,.254,461,.836,.250,.343
Toronto Raptors,9650,.454,13.4,.665,.282,.169,.091,.124,.335,.501,.655,.383,.388,.395,.361,.503,.054,168,.255,478,.842,.224,.381
Utah Jazz,10320,.431,12.6,.724,.299,.170,.113,.142,.276,.460,.586,.360,.357,.399,.354,.407,.047,147,.254,476,.787,.193,.381
Washington Wizards,9675,.465,13.6,.678,.283,.148,.103,.146,.322,.508,.641,.398,.441,.411,.375,.506,.049,152,.242,468,.834,.218,.409
