Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Chicago Bulls,,,
Indiana Pacers,Charlotte Hornets,,,
New Orleans Pelicans,Golden State Warriors,,,
Detroit Pistons,Los Angeles Clippers,,,
Miami Heat,Oklahoma City Thunder,,,
Utah Jazz,Philadelphia 76ers,,,
Houston Rockets,Washington Wizards,,,
Orlando Magic,Chicago Bulls,,,
Indiana Pacers,Charlotte Hornets,,,
New Orleans Pelicans,Golden State Warriors,,,
Detroit Pistons,Los Angeles Clippers,,,
Miami Heat,Oklahoma City Thunder,,,
Utah Jazz,Philadelphia 76ers,,,
Houston Rockets,Washington Wizards,,,
