team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
Utah Jazz,36.2,81.9,8.1,22.8,28.1,59.0,15.9,20.9,.764,8.9,31.2,40.1,17.8,7.3,3.8,12.2,20.3,96.5
San Antonio Spurs,36.9,83.3,8.1,23.6,28.8,59.7,16.4,21.1,.774,9.8,31.6,41.5,21.4,7.6,4.0,14.6,20.0,98.2
Dallas Mavericks,36.9,78.6,9.6,25.1,27.3,53.4,17.2,22.3,.773,8.7,35.5,44.2,21.0,6.6,3.4,15.1,19.5,100.5
Memphis Grizzlies,34.9,78.7,9.9,28.0,24.9,50.8,20.5,27.1,.754,9.2,33.0,42.2,20.0,7.0,5.1,14.3,21.0,100.1
Miami Heat,37.8,84.1,7.7,22.6,30.1,61.6,18.6,23.8,.783,10.2,33.4,43.6,19.7,6.7,5.0,13.4,18.5,101.9
Detroit Pistons,38.3,83.3,9.3,25.4,29.1,57.9,16.5,21.2,.778,8.0,34.8,42.8,23.4,6.7,4.1,12.7,17.5,102.4
Atlanta Hawks,38.8,87.3,10.9,30.4,27.9,56.8,15.6,20.3,.771,10.8,33.2,43.9,23.5,9.1,5.3,15.5,21.8,104.2
Toronto Raptors,37.4,83.0,9.7,27.2,27.7,55.8,18.6,23.8,.781,10.1,32.0,42.1,21.8,6.7,4.8,14.6,20.4,103.1
Chicago Bulls,39.7,86.5,9.0,25.7,30.7,60.8,14.6,18.9,.770,10.3,32.9,43.2,23.8,7.3,4.6,13.3,18.9,103.1
Milwaukee Bucks,38.2,82.9,10.0,28.1,28.2,54.8,17.9,23.3,.771,10.3,32.1,42.4,24.0,7.3,4.7,14.8,19.4,104.3
Oklahoma City Thunder,39.2,85.4,8.9,24.9,30.3,60.5,18.5,24.3,.762,9.2,31.4,40.6,21.5,8.6,5.5,13.8,20.8,105.7
Golden State Warriors,38.7,89.1,9.1,27.9,29.6,61.2,18.0,23.5,.765,11.8,31.9,43.7,22.6,8.6,3.9,15.6,19.4,104.4
Charlotte Hornets,39.4,86.7,11.5,31.4,27.9,55.2,14.3,18.4,.776,8.9,35.4,44.3,24.3,6.7,5.6,13.0,20.0,104.7
New Orleans Pelicans,39.9,89.1,10.5,29.8,29.4,59.3,15.8,20.7,.765,10.6,37.6,48.2,23.2,7.3,4.3,13.8,19.4,106.1
Los Angeles Clippers,38.7,85.5,9.3,26.4,29.4,59.1,18.2,23.6,.772,10.3,33.0,43.3,23.1,7.2,3.2,13.2,22.5,104.8
Minnesota Timberwolves,39.4,83.1,9.8,26.7,29.7,56.4,17.7,23.0,.770,9.7,30.6,40.3,22.8,7.6,5.0,14.3,20.5,106.3
Sacramento Kings,38.3,82.9,11.0,29.9,27.3,53.0,18.8,24.1,.780,9.9,32.9,42.8,23.7,8.6,5.2,14.1,20.1,106.4
Cleveland Cavaliers,40.5,88.7,10.3,28.5,30.2,60.2,15.4,19.9,.775,11.1,33.1,44.2,24.4,7.3,4.3,12.7,20.6,106.7
Indiana Pacers,38.1,84.6,10.3,29.1,27.8,55.5,19.0,24.1,.788,10.9,33.8,44.7,22.3,8.0,5.1,14.9,19.6,105.4
Boston Celtics,38.8,85.8,9.0,27.0,29.7,58.9,18.9,24.7,.764,10.8,33.7,44.5,22.6,7.7,5.1,14.0,20.4,105.4
Orlando Magic,40.1,86.1,9.6,26.3,30.4,59.8,17.5,22.7,.769,9.7,35.6,45.4,23.4,7.6,5.2,13.1,18.8,107.2
Washington Wizards,39.6,85.0,9.9,27.3,29.6,57.7,18.3,24.4,.751,10.6,32.5,43.1,22.9,7.4,4.6,15.4,19.9,107.4
Houston Rockets,40.9,88.5,10.0,29.3,30.9,59.2,17.2,22.2,.776,10.7,33.2,43.9,23.8,8.6,5.2,15.4,20.6,109.0
New York Knicks,39.7,87.5,9.8,28.2,29.9,59.3,18.8,24.5,.770,11.7,33.2,44.9,21.8,7.5,4.6,12.9,18.5,108.0
Philadelphia 76ers,39.5,86.0,9.0,25.0,30.5,61.0,20.2,26.1,.774,10.7,34.3,45.0,22.7,8.6,5.4,15.1,19.6,108.1
Portland Trail Blazers,39.3,86.3,9.4,25.2,29.9,61.1,21.0,26.7,.787,10.1,33.9,43.9,20.7,7.8,5.2,12.8,19.9,108.9
Denver Nuggets,42.2,88.0,10.0,26.1,32.2,61.9,17.4,22.2,.782,9.3,31.4,40.6,24.2,8.3,5.0,12.0,20.3,111.7
Los Angeles Lakers,41.7,86.3,10.3,27.6,31.4,58.7,18.4,24.1,.762,10.3,34.2,44.5,25.7,8.5,5.3,14.3,18.6,111.9
Brooklyn Nets,41.7,90.8,9.8,27.1,31.8,63.7,19.4,25.2,.770,11.0,35.9,46.9,23.0,9.5,5.6,13.3,20.4,112.6
Phoenix Suns,40.3,86.1,10.0,26.2,30.2,59.9,22.7,29.0,.784,10.1,33.8,43.9,22.2,8.2,5.4,15.1,22.2,113.3
